fixture_id	pair	mask_pixels	mask_sha256	V_raster_max	candidate_raster_max	V_raster_p95	candidate_raster_p95	byte_slack	historical_runner_status_excluded
S01-linear-oklab	linear/oklab	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.0039215686274510775	0.0039215686274510775	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-radial-oklab	radial/oklab	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.0039215686274510775	0.0039215686274510775	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-linear-linear-rgb	linear/linear-rgb	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.0039215686274510775	0.0039215686274510775	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-radial-linear-rgb	radial/linear-rgb	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.0039215686274510775	0.0039215686274510775	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S02-linear-oklab	linear/oklab	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.007750865051903089	0.007750865051903089	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S02-radial-oklab	radial/oklab	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.0076893502499038036	0.0076893502499038036	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S02-linear-linear-rgb	linear/linear-rgb	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.007750865051903089	0.007750865051903089	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S02-radial-linear-rgb	radial/linear-rgb	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.007812379853902318	0.007812379853902318	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S03-linear-oklab	linear/oklab	31672	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	0.01568627450980392	0.01568627450980392	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S03-radial-oklab	radial/oklab	31672	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	0.01568627450980392	0.01568627450980392	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S03-linear-linear-rgb	linear/linear-rgb	31672	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	0.01568627450980392	0.01568627450980392	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S03-radial-linear-rgb	radial/linear-rgb	31672	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	0.0196078431372549	0.0196078431372549	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S04-linear-oklab	linear/oklab	7646	eae0e9f657ee40831d78dc8ee401b07ca4f4f2ee2063eefeac7c2af22d03e6ba	0.010718954248366053	0.010718954248366053	0.004290657439446344	0.004290657439446344	0.00392156862745098	Preserved
