phase	fixture_id	pair	direct_digest	observed_digest	status
inverse	S24-radial-luma	radial/luma	c7264508b79965ca51db2a026dca25842478d0bee8b8a6ccb196943c03de92ca	c7264508b79965ca51db2a026dca25842478d0bee8b8a6ccb196943c03de92ca	Preserved
inverse	S24-linear-luma	linear/luma	7c4ff8a9d3d9f7f32fc20cf378fb24735c8f389690f4f141ab8fc8f0bd0c7427	7c4ff8a9d3d9f7f32fc20cf378fb24735c8f389690f4f141ab8fc8f0bd0c7427	Preserved
inverse	S24-radial-hsv	radial/hsv	2e32a6497801d76e9bfd3425184272cdf2ffa7b852403f85b36315d253af50f1	2e32a6497801d76e9bfd3425184272cdf2ffa7b852403f85b36315d253af50f1	Preserved
inverse	S24-linear-hsv	linear/hsv	12a2da4da8ad16095ece0b87cac6c0edd03800390cfca89da2baae0896a6239b	12a2da4da8ad16095ece0b87cac6c0edd03800390cfca89da2baae0896a6239b	Preserved
inverse	S24-radial-hsl	radial/hsl	e5feb983d7f2acaafc90947e5a1e243278758f1c54692f4f3cb45bb1de40d558	e5feb983d7f2acaafc90947e5a1e243278758f1c54692f4f3cb45bb1de40d558	Preserved
inverse	S24-linear-hsl	linear/hsl	6be6ab17b29ab27b0d4633c75d042127f65f50528581fd6ee6af73a493389cb6	6be6ab17b29ab27b0d4633c75d042127f65f50528581fd6ee6af73a493389cb6	Preserved
inverse	S24-radial-oklch	radial/oklch	147141c1a91be0b5c27afc2394d120c3ac4a388b8ca509ec81500ccf98c1b2f0	147141c1a91be0b5c27afc2394d120c3ac4a388b8ca509ec81500ccf98c1b2f0	Preserved
inverse	S24-linear-oklch	linear/oklch	9e51f557797e978de3e61103098b2b4784382f5a1af068c40d8d688b9738633d	9e51f557797e978de3e61103098b2b4784382f5a1af068c40d8d688b9738633d	Preserved
inverse	S23-radial-luma	radial/luma	76426ab801cec0561a16f140db62686039bcc0ddf457fc5ae91e8510904fd7f7	76426ab801cec0561a16f140db62686039bcc0ddf457fc5ae91e8510904fd7f7	Preserved
inverse	S23-linear-luma	linear/luma	c4b815967832a017be68c96c50c5b4617e99605a521a436949f5742767ce8ffc	c4b815967832a017be68c96c50c5b4617e99605a521a436949f5742767ce8ffc	Preserved
inverse	S23-radial-hsv	radial/hsv	97390aef54c1acd301614dc937f426fdcd205307349111ad53ae3b161376ee43	97390aef54c1acd301614dc937f426fdcd205307349111ad53ae3b161376ee43	Preserved
inverse	S23-linear-hsv	linear/hsv	4ae34fdfdf0bc6d37d98629e89417d81cab8d68179b5d0fe11a2c0748722bb70	4ae34fdfdf0bc6d37d98629e89417d81cab8d68179b5d0fe11a2c0748722bb70	Preserved
inverse	S23-radial-hsl	radial/hsl	cbe6fec3582f6bcbd75d5157138376546f67702220c2b74ff183de893925ca25	cbe6fec3582f6bcbd75d5157138376546f67702220c2b74ff183de893925ca25	Preserved
inverse	S23-linear-hsl	linear/hsl	a26ac7a308b1533ae492bf6410f455ea2f07a5a8bd2f3d230b4230202888c17b	a26ac7a308b1533ae492bf6410f455ea2f07a5a8bd2f3d230b4230202888c17b	Preserved
inverse	S23-radial-oklch	radial/oklch	6449edc02909c67d0cde09c1dbcefcbb8767d2f868b55491592c396e40fae4e1	6449edc02909c67d0cde09c1dbcefcbb8767d2f868b55491592c396e40fae4e1	Preserved
inverse	S23-linear-oklch	linear/oklch	f1797d1e9ab4e74fee4fc941e76b7c54a5f062b46cba069cd71a565a78006cac	f1797d1e9ab4e74fee4fc941e76b7c54a5f062b46cba069cd71a565a78006cac	Preserved
inverse	S22-radial-luma	radial/luma	26da723227de03781344d8bdc2fe9db20edffeb702682c889f9815280e87cc71	26da723227de03781344d8bdc2fe9db20edffeb702682c889f9815280e87cc71	Preserved
inverse	S22-linear-luma	linear/luma	aefcba318fe213438195addb5597742ff5f80bdc509595c98862e32f77334eec	aefcba318fe213438195addb5597742ff5f80bdc509595c98862e32f77334eec	Preserved
inverse	S22-radial-hsv	radial/hsv	b524ab8522e6c455445710afec2d21b7264d4b70d63997f18e08f69afa321713	b524ab8522e6c455445710afec2d21b7264d4b70d63997f18e08f69afa321713	Preserved
inverse	S22-linear-hsv	linear/hsv	ed888b25a883387fc8ba3f398f9744d867d2b2e43381ead5974f11369ebc496e	ed888b25a883387fc8ba3f398f9744d867d2b2e43381ead5974f11369ebc496e	Preserved
inverse	S22-radial-hsl	radial/hsl	2d340f3ac50b1921048ec4106cc309af54671c37992152158147e7c1935aed55	2d340f3ac50b1921048ec4106cc309af54671c37992152158147e7c1935aed55	Preserved
inverse	S22-linear-hsl	linear/hsl	85cf035c59a5668ec6829716d74ce1bdf6984bcfe7e1278ea18457d7856d6bdd	85cf035c59a5668ec6829716d74ce1bdf6984bcfe7e1278ea18457d7856d6bdd	Preserved
inverse	S22-radial-oklch	radial/oklch	e5c3b3de78fe3fbdd592b48afc0a4189143c4ccf6db8dc6dfdde9faea3038ee1	e5c3b3de78fe3fbdd592b48afc0a4189143c4ccf6db8dc6dfdde9faea3038ee1	Preserved
inverse	S22-linear-oklch	linear/oklch	73f110a9f0c388fbc2a91b3fcde0a94746d65bde029ec93916739b96ac2fe6e4	73f110a9f0c388fbc2a91b3fcde0a94746d65bde029ec93916739b96ac2fe6e4	Preserved
inverse	S21-radial-luma	radial/luma	d466395194065ddcdfbe623ac96e693130b4c036af29bb92eeb6ff260cee2a42	d466395194065ddcdfbe623ac96e693130b4c036af29bb92eeb6ff260cee2a42	Preserved
inverse	S21-linear-luma	linear/luma	f598f812659dd5b5135bdac02128bbf59f13dfaa7528df3eaeb5abddab8d08d6	f598f812659dd5b5135bdac02128bbf59f13dfaa7528df3eaeb5abddab8d08d6	Preserved
inverse	S21-radial-hsv	radial/hsv	fd54852b5217a7e966675f728b7248392fb8f027007b79c728cf5f8b6dc9c2a8	fd54852b5217a7e966675f728b7248392fb8f027007b79c728cf5f8b6dc9c2a8	Preserved
inverse	S21-linear-hsv	linear/hsv	d7c1ceabec5c937f64841b3872d2f864f6ab6324c64646f6c3dba3c322a100e9	d7c1ceabec5c937f64841b3872d2f864f6ab6324c64646f6c3dba3c322a100e9	Preserved
inverse	S21-radial-hsl	radial/hsl	aeb9ba8e73ac19fd6b8a3a93855a64512fc05736fb9cac03cc11f3d38a6dd520	aeb9ba8e73ac19fd6b8a3a93855a64512fc05736fb9cac03cc11f3d38a6dd520	Preserved
inverse	S21-linear-hsl	linear/hsl	2927be90e419bc63b71b3a1dacd813dcc581c319c30f1d658d700013b62da785	2927be90e419bc63b71b3a1dacd813dcc581c319c30f1d658d700013b62da785	Preserved
inverse	S21-radial-oklch	radial/oklch	01ae344ed28e80aa71c16501e47eaf89f589cbb442803503c44beb5f4b110148	01ae344ed28e80aa71c16501e47eaf89f589cbb442803503c44beb5f4b110148	Preserved
inverse	S21-linear-oklch	linear/oklch	ba042a7e4dbecf351f3907b2f36bb07e90d33efe5356907c4d18442427a6ef2b	ba042a7e4dbecf351f3907b2f36bb07e90d33efe5356907c4d18442427a6ef2b	Preserved
inverse	S20-radial-luma	radial/luma	98954e4e094f72dfc2f900ed06c4ff42fb696abac47993b05b19131d5c16c207	98954e4e094f72dfc2f900ed06c4ff42fb696abac47993b05b19131d5c16c207	Preserved
inverse	S20-linear-luma	linear/luma	fc9afb82d4744229b6a2b072c620f012c0dadb46db966f5975f4ae95cc9bee91	fc9afb82d4744229b6a2b072c620f012c0dadb46db966f5975f4ae95cc9bee91	Preserved
inverse	S20-radial-hsv	radial/hsv	aa05d793845d652161f41cbdd81ade7b87add31028312aeb79f41824f19a3a04	aa05d793845d652161f41cbdd81ade7b87add31028312aeb79f41824f19a3a04	Preserved
inverse	S20-linear-hsv	linear/hsv	af020cd2fcec51ff1c6b00fd88258173292b6336504ad52c38cc793f2889db91	af020cd2fcec51ff1c6b00fd88258173292b6336504ad52c38cc793f2889db91	Preserved
