probe_id	path	profile	previous_runtime_class	current_runtime_class	transition	fixture_comparable	universe	matrix_sha256
path-accent	accent	default	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-accent	accent	html	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-accent	accent	a11y	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-accent	accent	html+a11y	CRYSTALLINE_ONLY	CRYSTALLINE_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-align	align	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-align	align	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-align	align	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-align	align	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.axis	alignment.axis	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.axis	alignment.axis	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.axis	alignment.axis	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.axis	alignment.axis	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.bottom	alignment.bottom	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.bottom	alignment.bottom	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.bottom	alignment.bottom	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.bottom	alignment.bottom	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.center	alignment.center	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.center	alignment.center	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.center	alignment.center	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.center	alignment.center	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.end	alignment.end	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.end	alignment.end	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.end	alignment.end	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.end	alignment.end	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.horizon	alignment.horizon	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.horizon	alignment.horizon	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.horizon	alignment.horizon	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.horizon	alignment.horizon	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.inv	alignment.inv	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.inv	alignment.inv	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.inv	alignment.inv	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.inv	alignment.inv	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.left	alignment.left	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.left	alignment.left	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.left	alignment.left	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.left	alignment.left	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.right	alignment.right	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.right	alignment.right	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.right	alignment.right	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.right	alignment.right	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.start	alignment.start	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.start	alignment.start	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.start	alignment.start	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.start	alignment.start	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.top	alignment.top	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.top	alignment.top	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.top	alignment.top	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-alignment.top	alignment.top	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.deg	angle.deg	default	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.deg	angle.deg	html	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.deg	angle.deg	a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.deg	angle.deg	html+a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.rad	angle.rad	default	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.rad	angle.rad	html	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.rad	angle.rad	a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
path-angle.rad	angle.rad	html+a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED	true	principal	ed6b603578ada1a3961bbb564c272652e52b4652231b5d324c8b9afa57889e51
