phase	fixture_id	pair	direct_digest	observed_digest	status
inverse	S01-linear-hsl	linear/hsl	d3931a44561369599134c8a708e6c75fe8adfafe550144507213176f91819f82	d3931a44561369599134c8a708e6c75fe8adfafe550144507213176f91819f82	Preserved
inverse	S01-linear-hsv	linear/hsv	0ca84423c7b0727b130f94dca466adaa33560f1af808f08dd2fd66f6324bc30c	0ca84423c7b0727b130f94dca466adaa33560f1af808f08dd2fd66f6324bc30c	Preserved
inverse	S01-linear-luma	linear/luma	e52159dba9449feeca3c0e5c0c993dfe2c8968610eb98b18cf23daf4a675f1c2	e52159dba9449feeca3c0e5c0c993dfe2c8968610eb98b18cf23daf4a675f1c2	Preserved
inverse	S01-linear-oklch	linear/oklch	3c4f33b2d39399ee2ce8fa718d2fcdb345dfd2a8ae7cfa1a2411a760b8c7493f	3c4f33b2d39399ee2ce8fa718d2fcdb345dfd2a8ae7cfa1a2411a760b8c7493f	Preserved
inverse	S01-radial-hsl	radial/hsl	d3931a44561369599134c8a708e6c75fe8adfafe550144507213176f91819f82	d3931a44561369599134c8a708e6c75fe8adfafe550144507213176f91819f82	Preserved
inverse	S01-radial-hsv	radial/hsv	0ca84423c7b0727b130f94dca466adaa33560f1af808f08dd2fd66f6324bc30c	0ca84423c7b0727b130f94dca466adaa33560f1af808f08dd2fd66f6324bc30c	Preserved
inverse	S01-radial-luma	radial/luma	e52159dba9449feeca3c0e5c0c993dfe2c8968610eb98b18cf23daf4a675f1c2	e52159dba9449feeca3c0e5c0c993dfe2c8968610eb98b18cf23daf4a675f1c2	Preserved
inverse	S01-radial-oklch	radial/oklch	3c4f33b2d39399ee2ce8fa718d2fcdb345dfd2a8ae7cfa1a2411a760b8c7493f	3c4f33b2d39399ee2ce8fa718d2fcdb345dfd2a8ae7cfa1a2411a760b8c7493f	Preserved
inverse	S02-linear-hsl	linear/hsl	5fd33aa453fa29c6766c856292f93dfa1ec96c40159d55b36485e3deaed000e4	5fd33aa453fa29c6766c856292f93dfa1ec96c40159d55b36485e3deaed000e4	Preserved
inverse	S02-linear-hsv	linear/hsv	a5a0f8b3214822eae977c17a7dc2421ef1b13f298d60beeccfad18a8df829136	a5a0f8b3214822eae977c17a7dc2421ef1b13f298d60beeccfad18a8df829136	Preserved
inverse	S02-linear-luma	linear/luma	1b836821c08ed80dc0505dc4b60e755889f0bad70f32916d4903462cd91770fd	1b836821c08ed80dc0505dc4b60e755889f0bad70f32916d4903462cd91770fd	Preserved
inverse	S02-linear-oklch	linear/oklch	c5445ecd5d50cddb4b7db1bf0f62eb5cf423a1442aa8e8832c77acf0be70a28c	c5445ecd5d50cddb4b7db1bf0f62eb5cf423a1442aa8e8832c77acf0be70a28c	Preserved
inverse	S02-radial-hsl	radial/hsl	5fd33aa453fa29c6766c856292f93dfa1ec96c40159d55b36485e3deaed000e4	5fd33aa453fa29c6766c856292f93dfa1ec96c40159d55b36485e3deaed000e4	Preserved
inverse	S02-radial-hsv	radial/hsv	a5a0f8b3214822eae977c17a7dc2421ef1b13f298d60beeccfad18a8df829136	a5a0f8b3214822eae977c17a7dc2421ef1b13f298d60beeccfad18a8df829136	Preserved
inverse	S02-radial-luma	radial/luma	1b836821c08ed80dc0505dc4b60e755889f0bad70f32916d4903462cd91770fd	1b836821c08ed80dc0505dc4b60e755889f0bad70f32916d4903462cd91770fd	Preserved
