input	path	sha256
l0_svg	/repos/Antigravity/typst-crystalline/00_nucleo/prompts/infra/export/svg.md	6a8c1ad3858426f8a43ee8e172e5eb7bfca33dc1689d86e2eae0e1df7760c6d8
consumer_svg	/repos/Antigravity/typst-crystalline/03_infra/src/export/svg.rs	3ce7bd9ada1f32002e687e829e6f083f27decb446d6db8c364a25eaa7bf25e30
p1272_certificate	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/typst-p1272-generalization-certificate.md	d07786a848af1778a02bdff7d468fd9db47a499c565281b36df02c21e76359ec
p1272_manifest	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1272-final-manifest.tsv	0c711546ab246becb1468a61e859ea9e6202e79f0379658ff8eea7d7d699619c
p1266_runner	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_generalize.py	47bcdc4086517107f7f54cccd526c5dfedaf8c8520b8264aa37d4a4837e63aa6
p1269_adjudicator	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1269-adjudicator.py	19b121a13b78a7ac2bf8cbb1c8504302db1c0851284021d0e70b475f12bc503b
p1274_adjudicator	/tmp/p1274-envelope.q1OLuu/p1274-adjudicator.py	0c0436e6b1dc52cb85d80167a7332130846002c6f2fc81a99af50815ee80a1c3
candidate	/repos/Antigravity/typst-crystalline/target/debug/typst	522c0bde4dec1a8056a5aa5c2875af349b5e6fc249b2b8e054e0504294f776c8
vanilla	/usr/local/bin/typst	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8
probe	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_probe/target/debug/p1266-svg-generalization-probe	5a52332be8048ecef1ffaba1f6a2b4bc56cdfd57478fa613c05a298e7002b827
run_snapshot	/tmp/p1274-envelope.q1OLuu/working-tree-snapshot.txt	2b35e97cfa6b0b52fe98e20a8cabc2b95349c1d61660b1281fe76978752a49c0
