probe	pair	candidate_exit	classification	status
I01	linear/hsl	1	Rejected-by-domain	Preserved
I02	linear/hsl	1	Rejected-by-domain	Preserved
I03	linear/hsl	1	Rejected-by-domain	Preserved
I04	linear/hsl	1	Rejected-by-domain	Preserved
I05	linear/hsl	1	Rejected-by-domain	Preserved
I08	linear/hsl	1	Rejected-by-domain	Preserved
I01	linear/hsv	1	Rejected-by-domain	Preserved
I02	linear/hsv	1	Rejected-by-domain	Preserved
I03	linear/hsv	1	Rejected-by-domain	Preserved
I04	linear/hsv	1	Rejected-by-domain	Preserved
I05	linear/hsv	1	Rejected-by-domain	Preserved
I08	linear/hsv	1	Rejected-by-domain	Preserved
I01	linear/luma	1	Rejected-by-domain	Preserved
I02	linear/luma	1	Rejected-by-domain	Preserved
I03	linear/luma	1	Rejected-by-domain	Preserved
I04	linear/luma	1	Rejected-by-domain	Preserved
I05	linear/luma	1	Rejected-by-domain	Preserved
I08	linear/luma	1	Rejected-by-domain	Preserved
I01	linear/oklch	1	Rejected-by-domain	Preserved
I02	linear/oklch	1	Rejected-by-domain	Preserved
I03	linear/oklch	1	Rejected-by-domain	Preserved
I04	linear/oklch	1	Rejected-by-domain	Preserved
I05	linear/oklch	1	Rejected-by-domain	Preserved
I08	linear/oklch	1	Rejected-by-domain	Preserved
I01	radial/hsl	1	Rejected-by-domain	Preserved
I02	radial/hsl	1	Rejected-by-domain	Preserved
I03	radial/hsl	1	Rejected-by-domain	Preserved
I04	radial/hsl	1	Rejected-by-domain	Preserved
I05	radial/hsl	1	Rejected-by-domain	Preserved
I06	radial/hsl	1	Rejected-by-domain	Preserved
I07	radial/hsl	1	Rejected-by-domain	Preserved
I08	radial/hsl	1	Rejected-by-domain	Preserved
I01	radial/hsv	1	Rejected-by-domain	Preserved
I02	radial/hsv	1	Rejected-by-domain	Preserved
I03	radial/hsv	1	Rejected-by-domain	Preserved
I04	radial/hsv	1	Rejected-by-domain	Preserved
I05	radial/hsv	1	Rejected-by-domain	Preserved
I06	radial/hsv	1	Rejected-by-domain	Preserved
I07	radial/hsv	1	Rejected-by-domain	Preserved
I08	radial/hsv	1	Rejected-by-domain	Preserved
I01	radial/luma	1	Rejected-by-domain	Preserved
I02	radial/luma	1	Rejected-by-domain	Preserved
I03	radial/luma	1	Rejected-by-domain	Preserved
I04	radial/luma	1	Rejected-by-domain	Preserved
I05	radial/luma	1	Rejected-by-domain	Preserved
I06	radial/luma	1	Rejected-by-domain	Preserved
I07	radial/luma	1	Rejected-by-domain	Preserved
I08	radial/luma	1	Rejected-by-domain	Preserved
I01	radial/oklch	1	Rejected-by-domain	Preserved
I02	radial/oklch	1	Rejected-by-domain	Preserved
I03	radial/oklch	1	Rejected-by-domain	Preserved
I04	radial/oklch	1	Rejected-by-domain	Preserved
I05	radial/oklch	1	Rejected-by-domain	Preserved
I06	radial/oklch	1	Rejected-by-domain	Preserved
I07	radial/oklch	1	Rejected-by-domain	Preserved
I08	radial/oklch	1	Rejected-by-domain	Preserved
