fixture_id	pair	metric	variant	sample_basis	observed	frozen_limit	fresh_vanilla_limit	frozen_limit_delta	excess_vs_frozen	status_vs_frozen
S03-linear-linear-rgb	linear/linear-rgb	color_p95	legacy-serialized	candidate-exact	0.002608900768223896	0.0026050877217766648	0.0026050877217766648	0.0	3.813046447231124e-06	Violated
S03-linear-linear-rgb	linear/linear-rgb	color_p95	offset-f64-serialized	candidate-exact	0.002604143738174442	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-linear-linear-rgb	linear/linear-rgb	color_p95	offset-f64-raw	candidate-exact	0.0025798460471815787	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-linear-linear-rgb	linear/linear-rgb	color_p95	vanilla-meta-serialized	candidate-exact	0.002604143738174442	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-linear-linear-rgb	linear/linear-rgb	color_p95	vanilla-svg	candidate-exact	0.0026041437381745273	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-linear-linear-rgb	linear/linear-rgb	color_p95	offset-f64-serialized@vanilla-exact	vanilla-exact	0.0026040877217769804	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-linear-linear-rgb	linear/linear-rgb	color_p95	vanilla-meta-serialized@vanilla-exact	vanilla-exact	0.0026040877217769804	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-linear-linear-rgb	linear/linear-rgb	color_p95	vanilla-svg@vanilla-exact	vanilla-exact	0.0026040877217766646	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-radial-linear-rgb	radial/linear-rgb	color_p95	legacy-serialized	candidate-exact	0.002608931081362222	0.0026050877217766648	0.0026050877217766648	0.0	3.843359585557413e-06	Violated
S03-radial-linear-rgb	radial/linear-rgb	color_p95	offset-f64-serialized	candidate-exact	0.002604143738174442	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-radial-linear-rgb	radial/linear-rgb	color_p95	offset-f64-raw	candidate-exact	0.0025798460471815787	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-radial-linear-rgb	radial/linear-rgb	color_p95	vanilla-meta-serialized	candidate-exact	0.002604143738174442	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-radial-linear-rgb	radial/linear-rgb	color_p95	vanilla-svg	candidate-exact	0.0026041437381745273	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
S03-radial-linear-rgb	radial/linear-rgb	color_p95	offset-f64-serialized@vanilla-exact	vanilla-exact	0.0026040877217769804	0.0026050877217766648	0.0026050877217766648	0.0	0.0	Preserved
