fixture_id	pair	seed	graph	public	public_component_max_delta	color_max	color_p95	alpha_max	alpha_p95	V_color_max_limit	V_color_p95_limit	V_alpha_max_limit	V_alpha_p95_limit	numeric	raster	zero_area	cost	unknown	status
S01-linear-oklch	linear/oklch	S01	Preserved	Preserved	1.52587890625e-07	0.026497161712293	0.003620553903621889	0.0	0.0	0.02648426563333858	0.0035466467276993575	1e-06	1e-06	Violated	Preserved	Preserved	Preserved	0	Violated
S01-radial-oklch	radial/oklch	S01	Preserved	Preserved	1.52587890625e-07	0.026497161712293	0.003620553903621889	0.0	0.0	0.02648426563333858	0.0035466467276993575	1e-06	1e-06	Violated	Preserved	Preserved	Preserved	0	Violated
S01-linear-hsl	linear/hsl	S01	Preserved	Preserved	1.1920928955078125e-07	0.00831061170373617	0.002451181561411139	0.0	0.0	0.008308650970797684	0.0024517388115421613	1e-06	1e-06	Violated	Preserved	Preserved	Preserved	0	Violated
S01-radial-hsl	radial/hsl	S01	Preserved	Preserved	1.1920928955078125e-07	0.00831061170373617	0.002451181561411139	0.0	0.0	0.008308650970797684	0.0024517388115421613	1e-06	1e-06	Violated	Preserved	Preserved	Preserved	0	Violated
S01-linear-hsv	linear/hsv	S01	Preserved	Preserved	7.629394559671709e-08	0.007487876603283504	0.0024185217293142924	0.0	0.0	0.007485929351465486	0.0024141149912413006	1e-06	1e-06	Violated	Preserved	Preserved	Preserved	0	Violated
S01-radial-hsv	radial/hsv	S01	Preserved	Preserved	7.629394559671709e-08	0.007487876603283504	0.0024185217293142924	0.0	0.0	0.007485929351465486	0.0024141149912413006	1e-06	1e-06	Violated	Preserved	Preserved	Preserved	0	Violated
S01-linear-luma	linear/luma	S01	Preserved	Preserved	5.960464477539063e-08	0.0020659326621316624	0.0018770503467707628	0.0	0.0	0.0020669326621316625	0.0018780503467707627	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S01-radial-luma	radial/luma	S01	Preserved	Preserved	5.960464477539063e-08	0.0020659326621316624	0.0018770503467707628	0.0	0.0	0.0020669326621316625	0.0018780503467707627	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S02-linear-oklch	linear/oklch	S02	Preserved	Preserved	3.0517578125e-07	0.002833105952711594	0.0022984066027386934	0.0	0.0	0.002834105952711594	0.0022985814792395006	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
S02-radial-oklch	radial/oklch	S02	Preserved	Preserved	3.0517578125e-07	0.002833105952711594	0.0022984066027386934	0.0	0.0	0.002834105952711594	0.0022985814792395006	1e-06	1e-06	Preserved	Preserved	Preserved	Preserved	0	Preserved
