contract_id	observable	population	preserved	violated	unknown	evidence	normative_status
G01-POPULATION	fixture identity and pair membership	24 valid seeds x 4 pairs	96 unique frozen valid fixtures;24 per pair	missing;duplicate;candidate-guided fixture	ambiguous identity blocks affected pair	p1266-generalization-matrix.tsv:rows S01-I08	UNCHANGED-CANDIDATE
G02-DOMAIN	public constructor and transform acceptance	valid S01-S24 plus invalid I01-I08	all valid accepted;all applicable invalid rejected	valid rejected or invalid accepted	parser unavailable or diagnostic identity ambiguous	p1266-generalization-contract.tsv:3	UNCHANGED-CANDIDATE
G03-GRAPH	variant;resolved URL;raster absence;role;geometry;transform	96 valid fixtures	24/24 per pair;transform applied once	unresolved URL;wrong variant/role;positive-area fallback/raster	unparseable SVG or ambiguous node ownership	p1266-generalization-contract.tsv:4	UNCHANGED-CANDIDATE
G04A-ORIGINAL-STOPS	original/declarative semantic stop sequence entering SVG adaptation:offset;order;coincidence;right-continuity;color;alpha	96 valid fixtures	every original stop remains at its semantic offset,in original order,with coincident multiplicity/right-continuity,color and alpha preserved;auto,sharp and repeat-derived stops count as original at this stage	missing,reordered,deduplicated,shifted original stop;changed discontinuity,color or alpha	provenance cannot distinguish original stops from exporter-added adaptive stops	adaptive.md:63-76;svg.md:130-146	CORRECTED-CANDIDATE
G04B-ADAPTIVE-STOPS	exporter-added adaptive sequence:interval confinement;monotonic order;curve support;premultiplied encoded-sRGB and alpha envelope	all positive-width eligible intervals in 96 valid fixtures	adaptive stops remain ordered and inside their owning original interval;their rendered curve support and color/alpha envelope satisfy G05;no adaptive stop crosses or erases an original discontinuity	out-of-interval/reordered adaptive stop;changed right-continuity;curve or alpha envelope violation	stop provenance,curve oracle,budget or mesh unavailable;literal f32/f64 carrier,count and textual offset alone never decide	adaptive.md:53-76;svg.md:144-146;ADR-0107	CORRECTED-CANDIDATE
G05-CURVE	premultiplied encoded-sRGB color_max;color_p95;alpha_max;alpha_p95	8192 points per positive-domain fixture	all four metrics <= frozen per-fixture V_* limits	any one metric over limit	oracle/budget unavailable or mesh budget exhausted	p1266-generalization-contract.tsv:6	UNCHANGED-CANDIDATE
G06-RASTER	local masked RGBA morphology for painted support	all fixtures with nonempty painted support,including S20 stroke	frozen vanilla-derived raster envelope over independently derived painted-support mask	mask-adjusted candidate error over envelope	unsupported renderer or painted-support mask derivation ambiguous	p1266-generalization-contract.tsv:7;typst-p1266-svg-generalization.md:43-46	REFINED-CANDIDATE
G07A-S20-STROKE-SUPPORT	painted support of zero-width path stroked at 8pt;closed graph;geometry	S20 x 4 pairs	positive painted region matches vanilla-derived stroke support/morphology;server graph closed;linear/radial geometry correct	forced zero paint;wrong positive region;dangling server;wrong geometry	stroke support or local mask cannot be established independently	typst-p1266-svg-generalization.md:43-46;matrix:S20	CORRECTED-CANDIDATE
G07B-S21-FILL-ZERO-SUPPORT	painted support of zero-height fill without positive-area stroke;closed graph;geometry	S21 x 4 pairs	no positive-area paint;server graph closed;linear/radial geometry correct	any positive-area paint;dangling server;wrong geometry	zero fill support or graph ownership cannot be established independently	typst-p1266-svg-generalization.md:43-46;matrix:S21	CORRECTED-CANDIDATE
G08-ANTIALIAS	constructor true;sharp false;repeat preserves input	S13-S18;S21;S24 x 4 pairs	boundary morphology and public state match vanilla	state lost;double-applied;repeat resets state	anti_alias carrier unavailable	p1266-generalization-contract.tsv:9	UNCHANGED-CANDIDATE
G09-GEOMETRY	linear angle;radial center/radius/focal;box transform	96 valid fixtures	language-equivalent geometry under frozen landmarks	angle/focal/radius/transform divergence	landmark or local coordinate base ambiguous	p1266-generalization-contract.tsv:10	UNCHANGED-CANDIDATE
G10-BOUNDED-ADAPTATION	per-original-interval subdivisions,adaptive stops,midpoint decisions,total emitted stops and deterministic termination	96 valid fixtures	let M be original stops and R eligible positive-width intervals;for each interval subdivisions<=64,adaptive interior stops a_i<=63,midpoint decisions<=127;E=M+sum(a_i)<=M+63R<=64M-63 for M>=2;coincident/ineligible intervals add zero adaptive stops;traversal terminates deterministically	any interval exceeds 64 subdivisions,63 adaptive interiors or127 midpoint decisions;E exceeds M+63R;cross-interval insertion;nontermination;unreported M/R/a_i/decisions	instrumentation cannot attribute work to original intervals or execution cannot be reproduced	vanilla gradient.rs:910-965;adaptive.rs:84-164;adaptive.md:53-76	CORRECTED-CANDIDATE
G11-CONTROLS	sRGB;P1234;P1236;P1264	frozen control corpora	zero regression in every predecessor gate	any reopened control	changed protected input invalidates future seal	p1266-generalization-contract.tsv:12	UNCHANGED-CANDIDATE
G12-PAIR-GATE	conjunction G01-G11 including G04A/G04B,G07A/G07B and applicable attacks	four independent pairs	24/24 satisfy every applicable language observable;zero necessary Unknown;all valid mutants rejected;mutation_score=1.0	any failed applicable obligation or surviving valid mutant	Unknown-generalization for affected pair only	p1267:57-60;skill artefatos-e-gates.md	CORRECTED-CANDIDATE
G13-DETERMINISM	direct;inverse;repeat semantic outputs	complete corpus and attack suite	canonical semantic equality	any order-dependent semantic result	non-reproducible environment invalidates run	p1266-generalization-contract.tsv:14	UNCHANGED-CANDIDATE
G14-PROMOTION-BOUNDARY	classification versus product default	four pair verdicts	at most Generalization-Preserved after future seal;fallback unchanged in P1267-R2	productive promotion,general equivalence claim or conversion of historical failure to success	all four pairs remain Unknown-generalization until independent oracles,attacks and discriminatory gate complete	p1267:57-60;P1266 final certificate	CORRECTED-CANDIDATE
