id	mutation	expected	contracts	refutation
A01	reduce arbitrary Content to its first color	Violated	C01,C13	landmark morphology and explicit no-fallback classification
A02	add a public ResolvedTiling carrying frame	Violated	C10	public surface inventory and lineage diff
A03	layout the body independently inside SVG exporter	Violated	C10,C12	instrumented layout count and dependency boundary
A04	resolve size auto to 1pt or painted bbox	Violated	C03	intrinsic asymmetric body extent oracle
A05	use spacing as cell size rather than pitch delta	Violated	C04	asymmetric independent pitch oracle
A06	discard percentage component of offset	Violated	C05	mixed relative/absolute phase oracle
A07	accept font-relative or nonfinite offset	Violated	C05	negative constructor oracle
A08	accept nonfinite angle	Violated	C06	negative constructor oracle
A09	apply angle before offset	Violated	C07	nonsymmetric landmark transform-order oracle
A10	collapse relative auto to self during eval	Violated	C08	shape versus text contextual oracle
A11	collapse explicit parent and self	Violated	C09	translated siblings phase oracle
A12	claim stroke tiling Preserved directly or infer its preservation from a passing Content-tiling fill fixture	Violated	C11	exact scoped Unknown for stroke plus role-separated per-target fill controls
A13	early-rasterize and claim all targets preserved	Violated	C12,C13	target triplet plus morphology witness
A14	classify fallback color resemblance as Preserved	Violated	C13	explicit Unknown oracle
A15	make classification depend on fixture order	Violated	C14	reverse-order repeat
A16	share one materializable L0 between layout and exporter	Violated	C15	V15 ownership gate
A17	point productive code directly to a nucleus	Violated	C15	V26 nucleus integrity gate
A18	infer PDF or HTML preservation from SVG success	Violated	C12	target-independent adjudication
