probe_id	fixture_id	mesh	worst_t	fixture_sha256	svg_sha256
P001	regression-linear-linear-rgb-alpha-first-square-fill	2048	0	ce7ff67bc78072877e3f1db6c930bcd25c675a7e35b1c64321ffbf6f0fec229e	42cd2273497166414e3a2750ae0a51b2a99658775889f5a290c1580a7cde711b
P002	regression-linear-linear-rgb-alpha-first-square-fill	4096	0	ce7ff67bc78072877e3f1db6c930bcd25c675a7e35b1c64321ffbf6f0fec229e	42cd2273497166414e3a2750ae0a51b2a99658775889f5a290c1580a7cde711b
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	1	dd0873890ec509ec208695ae5b3a537a1cb20f66a68b6eff1a0d58bbf0085df6	43fac462691f6a5ce14361668e6fc22f37f9ca51b9ddbe898e613cbafb959be4
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	1	dd0873890ec509ec208695ae5b3a537a1cb20f66a68b6eff1a0d58bbf0085df6	43fac462691f6a5ce14361668e6fc22f37f9ca51b9ddbe898e613cbafb959be4
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	0.369140625	0127411bfeccbb68cb3f464fd3ed28a92278d1fe397ce412f9f615f740eb009a	13c91187e52c3fa0d71ad5ec03da7ba596edc421bb0fad56e80c12078724c792
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	0.369384765625	0127411bfeccbb68cb3f464fd3ed28a92278d1fe397ce412f9f615f740eb009a	13c91187e52c3fa0d71ad5ec03da7ba596edc421bb0fad56e80c12078724c792
P007	regression-linear-linear-rgb-two-wide-stroke	2048	0.994140625	39eb540f94f91717a354b215fe87d8a1c9084a12d90e90429302ce8b6108adf6	0d8047742ae5e6450f369a2b4216eeb7aed1a865a38f090de62375df8ce21185
P008	regression-linear-linear-rgb-two-wide-stroke	4096	0.994140625	39eb540f94f91717a354b215fe87d8a1c9084a12d90e90429302ce8b6108adf6	0d8047742ae5e6450f369a2b4216eeb7aed1a865a38f090de62375df8ce21185
P009	regression-linear-oklab-alpha-first-square-fill	2048	0	5f49e4fe51d2f3e43657aecb2b4511382ceb617a2bbb36c32cfe8d4f4f509ce4	69c0ac49ed7069033d5921a8b6d8e3b1761f87a15e349266528d15e63b77ad0d
P010	regression-linear-oklab-alpha-first-square-fill	4096	0	5f49e4fe51d2f3e43657aecb2b4511382ceb617a2bbb36c32cfe8d4f4f509ce4	69c0ac49ed7069033d5921a8b6d8e3b1761f87a15e349266528d15e63b77ad0d
P011	regression-linear-oklab-alpha-last-tall-fill	2048	1	ee0326677317164f30dd32fceecbe3955d7d6cf0ad499aa711c2046c9c4693af	fe70580614a2539fbaf0b26a92d97089d76b5a8499627c939b0c01c1cfceb992
P012	regression-linear-oklab-alpha-last-tall-fill	4096	1	ee0326677317164f30dd32fceecbe3955d7d6cf0ad499aa711c2046c9c4693af	fe70580614a2539fbaf0b26a92d97089d76b5a8499627c939b0c01c1cfceb992
P013	regression-linear-oklab-alpha-mid-wide-stroke	2048	0.369140625	1eddcf17f5c73648dfb446d3006aa480ff9ec99c06d5efef1d0fd975c08ffb8d	f873a67b9c05840881b77c5eb3f32cf68415e3948df2c3e186470e1167b33e48
P014	regression-linear-oklab-alpha-mid-wide-stroke	4096	0.369140625	1eddcf17f5c73648dfb446d3006aa480ff9ec99c06d5efef1d0fd975c08ffb8d	f873a67b9c05840881b77c5eb3f32cf68415e3948df2c3e186470e1167b33e48
P015	regression-linear-oklab-base-square-fill	2048	0.55419921875	180bd3df3c25f6aa1039cb497f37d7749068c6059837440d83c0b3168349273e	d3a69c786ff959ab3f28bf2635fc74313de9b5b8c740adee7297beb21f5bdeb2
P016	regression-linear-oklab-base-square-fill	4096	0.555419921875	180bd3df3c25f6aa1039cb497f37d7749068c6059837440d83c0b3168349273e	d3a69c786ff959ab3f28bf2635fc74313de9b5b8c740adee7297beb21f5bdeb2
P017	regression-linear-oklab-coincident-tall-fill	2048	0.29443359375	a407b98f024988e0503aac67a0b437e097e53fe9ceca75788cf0ed70f68fb657	837d247743aa4773d863e54c2ec12cc55b43ef2a16902d0cfa8eb803cccc64c7
P018	regression-linear-oklab-coincident-tall-fill	4096	0.292236328125	a407b98f024988e0503aac67a0b437e097e53fe9ceca75788cf0ed70f68fb657	837d247743aa4773d863e54c2ec12cc55b43ef2a16902d0cfa8eb803cccc64c7
P019	regression-linear-oklab-two-wide-stroke	2048	0.99169921875	bbec67071356c8269081a0b49860d0941aaea48aa41d1352e497885c1755c5ff	da80542bf804ea8f4698c256d24a87107b5d79eb101e291a374cb80427fd2284
P020	regression-linear-oklab-two-wide-stroke	4096	0.99169921875	bbec67071356c8269081a0b49860d0941aaea48aa41d1352e497885c1755c5ff	da80542bf804ea8f4698c256d24a87107b5d79eb101e291a374cb80427fd2284
P021	regression-radial-hsv-alpha-first-square-fill	2048	0.0009765625	d0058230014cf879ab826715fc1705554d37b0186e921cc2f9644f4b5bc789fb	fa4ae99872dbd7dff796fd3475687588a664ea64e8113c6e31545d462c1d2e7a
P022	regression-radial-hsv-alpha-first-square-fill	4096	0.000244140625	d0058230014cf879ab826715fc1705554d37b0186e921cc2f9644f4b5bc789fb	fa4ae99872dbd7dff796fd3475687588a664ea64e8113c6e31545d462c1d2e7a
P023	regression-radial-hsv-alpha-last-tall-fill	2048	0.998046875	5f697a9f321ce66e69c33cd27c3c7fd3f8eb676263b49a17dd2dc9a45eb34dcf	c85fae5bf0c35875b0a4f666dbdf3c783c30c92e8d3c53f73e6342a95892b3cf
P024	regression-radial-hsv-alpha-last-tall-fill	4096	0.998046875	5f697a9f321ce66e69c33cd27c3c7fd3f8eb676263b49a17dd2dc9a45eb34dcf	c85fae5bf0c35875b0a4f666dbdf3c783c30c92e8d3c53f73e6342a95892b3cf
P025	regression-radial-hsv-alpha-mid-wide-stroke	2048	0.37158203125	ef846d11f4a466d1924128efced5fd9d515e0f62b0f40d08848a36e68acffccf	28028bcfcd146b570fb02dbe373a7e5d43605eb6acb7405631e533e33cf757cb
P026	regression-radial-hsv-alpha-mid-wide-stroke	4096	0.37158203125	ef846d11f4a466d1924128efced5fd9d515e0f62b0f40d08848a36e68acffccf	28028bcfcd146b570fb02dbe373a7e5d43605eb6acb7405631e533e33cf757cb
P027	regression-radial-hsv-base-square-fill	2048	0.169921875	2572b767f3357d70c38dd18fad9d87f91d80b74c83002e59ea3d172c8d658072	11f94a016af7fc44d933c28b892b0570ac956a130fa4fd0b1081f1ec4e2232f8
P028	regression-radial-hsv-base-square-fill	4096	0.169921875	2572b767f3357d70c38dd18fad9d87f91d80b74c83002e59ea3d172c8d658072	11f94a016af7fc44d933c28b892b0570ac956a130fa4fd0b1081f1ec4e2232f8
P029	regression-radial-hsv-coincident-tall-fill	2048	0.6552734375	2c6492e09c364b962f055d6fb5dacdecb42a14a8a0ff55b88e2d5c9631432e6c	12f6bc3d4610db086437d37996d24384cfebcd050884212b65f4e83bb2f29813
P030	regression-radial-hsv-coincident-tall-fill	4096	0.655517578125	2c6492e09c364b962f055d6fb5dacdecb42a14a8a0ff55b88e2d5c9631432e6c	12f6bc3d4610db086437d37996d24384cfebcd050884212b65f4e83bb2f29813
