fixture_id	pair	variant_nodes	unresolved	raster_nodes	role_urls	fallback_markers	transform_digest	product	status
S01-linear-oklab	linear/oklab	2	0	0	1	0	be5c7eb486250135340a218e2e74107b7e43529d52b90d700c9e43192cd44c17	False	Preserved
S01-radial-oklab	radial/oklab	2	0	0	1	0	1af201d224b58320e54de89ccee5e21834a4ff26d968f58c18a18d43737cab09	False	Preserved
S01-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	c13918e6da22db4ab5004d2645c78c2ca1316df4daf886d87bcffb520815a03c	False	Preserved
S01-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	26007f85a69488fc5a147a61dc14745c93c9e1fefe16e2b3a0716da9b83bfca1	False	Preserved
S02-linear-oklab	linear/oklab	2	0	0	1	0	b041b56246a97299f16cd34bb81a7c9795aef5d37ec3d947a6880ebc21915fef	False	Preserved
S02-radial-oklab	radial/oklab	2	0	0	1	0	ca21ddb3313342598a9d65cdb8a1d53dc3f82360f4aea9157031c2274b14c0a1	False	Preserved
S02-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	254317c4c6ab5e9eade2653a4b6251887481b4209102055c7268ec40d4db8a36	False	Preserved
S02-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	2d330a8ebddfcba09c63fd7d35c12bcf279d450508edd8cb08d345e193e82f46	False	Preserved
S03-linear-oklab	linear/oklab	2	0	0	1	0	49d0d226cae113b94f661f670354e382805d4ff98f270b7dfbb1ce2504eed07e	False	Preserved
S03-radial-oklab	radial/oklab	2	0	0	1	0	4ecf3c8f10813989286ecfc9a02ded881a62974e0f946f241c0f958429b2970d	False	Preserved
S03-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	3edafa072fce4a2752baf2f8fc0b772af83f4ec06c98ad83b05322375ee44857	False	Preserved
S03-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	f8a27ab0cd6c36f4eab0faa49aa803469aa5896ed34e38bf228241178b75179a	False	Preserved
S04-linear-oklab	linear/oklab	2	0	0	1	0	a9f0c7cf4153c28e7ef20afc2f7b52cf09904693a2922e0045ea9c006a97e1d0	False	Preserved
S04-radial-oklab	radial/oklab	2	0	0	1	0	78795cc4b588a8e20b289c8d011e5b1ed9b5f42fe5a4859c594e3bde5fdf9d53	False	Preserved
S04-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	279fc665685efdc47e861940f52e601b12fccbe09bdd39a64b2807cfaeeb4b53	False	Preserved
S04-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	b067d96b5b8a4fa7e7b7d573c0b0de37acee621eba5273f3985504c8798cabaa	False	Preserved
S05-linear-oklab	linear/oklab	2	0	0	1	0	c299e96416cc6990b0eebe0835fb7a9755b5b585f741ab4af08100bf5c1510ad	False	Preserved
S05-radial-oklab	radial/oklab	2	0	0	1	0	9722c0264d8beda1c4c9cc73df61ffd0859da1713dc897731bd6f68d5ae7d216	False	Preserved
S05-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	87d622bb29e79f04b5d4375e942bac761dbb420356dd4bfdc1276487e8be0ca1	False	Preserved
S05-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	d3ea999a506c7edf47f6fd8a9ad56384050292c75855434c9578d02fe1a057a8	False	Preserved
S06-linear-oklab	linear/oklab	2	0	0	1	0	65346c5f0fe8a4a2babb47538f452084575a36ba4c8540f29d2705cd9a214a85	False	Preserved
S06-radial-oklab	radial/oklab	2	0	0	1	0	bad1442c934c84bd5e156b04b7e789c27639421764b18bd8aa9a28d7dbfce04d	False	Preserved
S06-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	05c6af24a560e1803aa2212efc7b911393242ff8d85037a6ef08a822332cc282	False	Preserved
S06-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	79de5bd6825c97cd1ead2eb77105a5444db9df4160b5a113008cc81338505879	False	Preserved
S07-linear-oklab	linear/oklab	2	0	0	1	0	5659335a78942bc1c8284c97eb5dba1e9658c2d169667ff0b8951a2f2defb19e	False	Preserved
S07-radial-oklab	radial/oklab	2	0	0	1	0	199a1aa4ab433e56963ec3681b0ec22c07c47e8bed3f9ea5cf7f0783882098a2	False	Preserved
S07-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	5ae037c93acfc81dfbf7bf45cabf5af43c423eb585e3934162a97629a9c267a0	False	Preserved
S07-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	7d42e820269b8fdfa44c06f74f90404f519b444a110d8e30823833c4c2faeca7	False	Preserved
S08-linear-oklab	linear/oklab	2	0	0	1	0	8b547bf16b8fb2ecba78ecf919ed7c000c9e7bf94348b138ea1096e5cabc2537	False	Preserved
S08-radial-oklab	radial/oklab	2	0	0	1	0	a697d1f6cb07fba24549cee515f501f86cfdf66dac8426c1030c80f54c230448	False	Preserved
S08-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	06be8d63ac67c7833b672499a8c607718e9675d3898d38b3c6210fe09ddbf5fd	False	Preserved
S08-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	1d8c2727ff70e517cbd255e7f26c94335e2570d26fb19da41886371e408f1d2c	False	Preserved
S09-linear-oklab	linear/oklab	2	0	0	1	0	00c27ae21caa17d5a1ffe54fcc0fcb7093db1dacda6e8f0b5fec5311c88216f1	False	Preserved
S09-radial-oklab	radial/oklab	2	0	0	1	0	94aa5ed7bb040287eba69c4090d2463c4799b044ebc57d056b6061cc90326aab	False	Preserved
S09-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	a57c3a697fee7b3abeef456dc1dd0fa67cbea1fcab12d6539e4af466065ef9b7	False	Preserved
S09-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	d3fd6aaffcfab1c0276b83a6e7b7e41da31e13af62dc54f58f442621f8ad8df5	False	Preserved
S10-linear-oklab	linear/oklab	2	0	0	1	0	4e15b77acda0fcbb68690659092cc9da789160276b04089725a2aeff26504968	False	Preserved
S10-radial-oklab	radial/oklab	2	0	0	1	0	393f8b30632d8cf0a79b3d2e6bc80fb824fd01283a7605705efc240ba3ffdc24	False	Preserved
S10-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	91f8a57b186b8e9996c2506e579e663e9466f8969abd70f7c6802915314e5135	False	Preserved
S10-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	3e936ea791affc1d5d64c4f3094a7ec8d325070352ec1a10eeb5dae9003ec594	False	Preserved
S11-linear-oklab	linear/oklab	2	0	0	1	0	79ff253f599cce70c38cc4ef15a591a82871755dc0c322b1dd6842abbb7c8cd2	False	Preserved
S11-radial-oklab	radial/oklab	2	0	0	1	0	8c0e1699e5f69190272b44f890f08307c27c2cef400a35cb5102f2de4f9fcbad	False	Preserved
S11-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	5fe95d80b35b5bd023e22db904826c6719e5158371d8760f85050e524c02cfda	False	Preserved
S11-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	1a9799b38674999b58a9fb5a684e5c5b82c26a32cc40c14c9cbb57410637e96c	False	Preserved
S12-linear-oklab	linear/oklab	2	0	0	1	0	f60358c972dc1b69baf8c596a695b05fa5f3eea1ecd6ac3a2640cce749024800	False	Preserved
S12-radial-oklab	radial/oklab	2	0	0	1	0	1a2edb1ca50e013acb0065c7499e737a873843e92c2038fb7a38f492312d5dd6	False	Preserved
S12-linear-linear-rgb	linear/linear-rgb	2	0	0	1	0	ef72b226c015e84240dbbc5d699715207492dfcccfd9f5bde9dc0042022eaf30	False	Preserved
S12-radial-linear-rgb	radial/linear-rgb	2	0	0	1	0	c0daabe028c44b5c8bce8abc2d08293fc75642856992538a885e08583ad2a366	False	Preserved
