variant	spelling	vanilla_owner	crystalline_owner	public_probe	value_parity	diagnostic_parity	evidence	remaining_gap
Add	+	typst_eval::ops::apply_binary	operators::arithmetic::apply_binary	decimal("1.5") + 2; 2 + decimal("1.5")	GREEN	GREEN	P1219 22/22 matrix	-
Sub	-	typst_eval::ops::apply_binary	operators::arithmetic::apply_binary	decimal("5.5") - 2; 2 - decimal("5.5")	GREEN	GREEN	P1219 22/22 matrix	-
Mul	*	typst_eval::ops::apply_binary	operators::arithmetic::apply_binary	decimal("1.5") * 3; 3 * decimal("1.5")	GREEN	GREEN	P1219 22/22 matrix	-
Div	/	typst_eval::ops::apply_binary	operators::arithmetic::apply_binary	decimal("7.5") / 2; 2 / decimal("0.5")	GREEN	GREEN	P1219 22/22 matrix	-
And	and	typst_eval::ops::apply_binary	eval_expr short-circuit	false and panic()	GREEN	GREEN	P1216/P1219 control	-
Or	or	typst_eval::ops::apply_binary	eval_expr short-circuit	true or panic()	GREEN	GREEN	P1216/P1219 control	-
Eq	==	typst_eval::ops::apply_binary	operators::equality::apply_binary	decimal("1") == 1	GREEN	GREEN	P1217/P1219 control	-
Neq	!=	typst_eval::ops::apply_binary	operators::equality::apply_binary	decimal("1") != 2	GREEN	GREEN	P1217/P1219 control	-
Lt	<	typst_eval::ops::apply_binary	operators::ordering::apply_binary	decimal("1") < 2	GREEN	GREEN	P1217 58-case matrix rerun	-
Leq	<=	typst_eval::ops::apply_binary	operators::ordering::apply_binary	decimal("1") <= 1	GREEN	GREEN	P1217 58-case matrix rerun	-
Gt	>	typst_eval::ops::apply_binary	operators::ordering::apply_binary	2 > decimal("1")	GREEN	GREEN	P1217 58-case matrix rerun	-
Geq	>=	typst_eval::ops::apply_binary	operators::ordering::apply_binary	2 >= decimal("2")	GREEN	GREEN	P1217 58-case matrix rerun	-
In	in	typst_eval::ops::apply_binary	operators::eval_binary_op	1 in (1, 2)	GREEN	GREEN	P1216/P1219 control	-
NotIn	not in	typst_eval::ops::apply_binary	parser lowering + operators::eval_binary_op	3 not in (1, 2)	GREEN	GREEN	P1216/P1219 control	-
Assign	=	typst_eval::eval	assignment evaluator	let x = 1	GREEN	GREEN	P1218/P1219 ownership audit	outside pure dispatcher by design
AddAssign	+=	typst_eval::eval	assignment evaluator	x += 1	GREEN	GREEN	P1218/P1219 ownership audit	outside pure dispatcher by design
SubAssign	-=	typst_eval::eval	assignment evaluator	x -= 1	GREEN	GREEN	P1218/P1219 ownership audit	outside pure dispatcher by design
MulAssign	*=	typst_eval::eval	assignment evaluator	x *= 2	GREEN	GREEN	P1218/P1219 ownership audit	outside pure dispatcher by design
DivAssign	/=	typst_eval::eval	assignment evaluator	x /= 2	GREEN	GREEN	P1218/P1219 ownership audit	outside pure dispatcher by design
