attack_id	obligation	status	evidence
M01	alpha não pode virar opaco	REJECTED	B/C/D/F/H observam alpha e stop-opacity
M02	primeiro stop coincidente não pode sumir	REJECTED	H exige três stops ordenados
M03	segundo stop coincidente não pode sumir	REJECTED	H exige três stops ordenados
M04	stops coincidentes não podem reordenar	REJECTED	lista declarada é observável
M05	stops coincidentes não podem deduplicar	REJECTED	contagem três e offsets 0,0,1
M06	alpha não pode ser assado no RGB	REJECTED	stop-color e stop-opacity separados
M07	gradient não pode colapsar antes de L3	REJECTED	FrameItem conserva Paint; G/H conservam shape
M08	url local deve resolver	REJECTED	H resolve fill=url(#p0) para linearGradient
M09	ID literal não é paridade	REJECTED	normalização exclui spelling do ID
M10	default/Oklab não pode ser promovido	REJECTED	G permanece UNKNOWN com fallback marcado
M11	fixture não pode ser reconhecida textualmente	REJECTED	causa e teste focal usam fill sólido exact-fit
M12	render não pode migrar para entities	REJECTED	patch fica em compiler/layout/shape.rs; ADR-0109 preservada
