id	mutant	expected	result
1	bbox equal implies path equal	Violated	PASS
2	circle equals unequal ellipse	Violated	PASS
3	rounded rect equals rect	Violated	PASS
4	change one cubic control	Violated	PASS
5	change arc flag	Violated	PASS
6	ignore relative commands	Violated	PASS
7	ignore H/V	Violated	PASS
8	wrong S reflection	Violated	PASS
9	wrong T reflection	Violated	PASS
10	drop close	Violated	PASS
11	reorder subpaths	Violated	PASS
12	ignore fill-rule	Violated	PASS
13	commute transforms	Violated	PASS
14	apply matrix twice	Violated	PASS
15	round above 1e-8	Violated	PASS
16	ignore stroke width	Violated	PASS
17	ignore paint order	Violated	PASS
18	accept malformed path	Unknown	PASS
19	broken paint reference	Unknown	PASS
20	Unknown becomes Preserved	reject	PASS
