pair	fixture_id	minimum_uniform_cap	status_at_64
radial/oklab	candidate-radial-oklab-base-square-fill	64	Preserved
radial/oklab	candidate-radial-oklab-two-wide-stroke	none<=64	Violated
radial/oklab	candidate-radial-oklab-coincident-tall-fill	64	Preserved
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	64	Preserved
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	none<=64	Violated
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	64	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	64	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	none<=64	Violated
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	32	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	64	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	none<=64	Violated
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	64	Preserved
linear/oklab	regression-linear-oklab-base-square-fill	64	Preserved
linear/oklab	regression-linear-oklab-two-wide-stroke	none<=64	Violated
linear/oklab	regression-linear-oklab-coincident-tall-fill	64	Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	64	Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	none<=64	Violated
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	64	Preserved
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	64	Preserved
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	none<=64	Violated
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	32	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	64	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	none<=64	Violated
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	64	Preserved
