fixture_id	pair	logical_stops	effective_public_stops	emitted_stops	cap	status
S01-linear-oklab	linear/oklab	2	2	26	64	Preserved
S01-radial-oklab	radial/oklab	2	2	26	64	Preserved
S01-linear-linear-rgb	linear/linear-rgb	2	2	26	64	Preserved
S01-radial-linear-rgb	radial/linear-rgb	2	2	26	64	Preserved
S02-linear-oklab	linear/oklab	3	3	20	64	Preserved
S02-radial-oklab	radial/oklab	3	3	20	64	Preserved
S02-linear-linear-rgb	linear/linear-rgb	3	3	30	64	Preserved
S02-radial-linear-rgb	radial/linear-rgb	3	3	30	64	Preserved
S03-linear-oklab	linear/oklab	4	4	63	64	Preserved
S03-radial-oklab	radial/oklab	4	4	63	64	Preserved
S03-linear-linear-rgb	linear/linear-rgb	4	4	70	64	Violated
S03-radial-linear-rgb	radial/linear-rgb	4	4	70	64	Violated
S04-linear-oklab	linear/oklab	8	8	94	64	Violated
S04-radial-oklab	radial/oklab	8	8	94	64	Violated
S04-linear-linear-rgb	linear/linear-rgb	8	8	93	64	Violated
S04-radial-linear-rgb	radial/linear-rgb	8	8	93	64	Violated
S05-linear-oklab	linear/oklab	16	16	301	64	Violated
S05-radial-oklab	radial/oklab	16	16	301	64	Violated
S05-linear-linear-rgb	linear/linear-rgb	16	16	298	64	Violated
S05-radial-linear-rgb	radial/linear-rgb	16	16	298	64	Violated
S06-linear-oklab	linear/oklab	32	32	642	64	Violated
S06-radial-oklab	radial/oklab	32	32	642	64	Violated
S06-linear-linear-rgb	linear/linear-rgb	32	32	774	64	Violated
S06-radial-linear-rgb	radial/linear-rgb	32	32	774	64	Violated
S07-linear-oklab	linear/oklab	2	3	27	64	Preserved
S07-radial-oklab	radial/oklab	2	3	27	64	Preserved
S07-linear-linear-rgb	linear/linear-rgb	2	3	27	64	Preserved
S07-radial-linear-rgb	radial/linear-rgb	2	3	27	64	Preserved
S08-linear-oklab	linear/oklab	3	4	24	64	Preserved
S08-radial-oklab	radial/oklab	3	4	24	64	Preserved
S08-linear-linear-rgb	linear/linear-rgb	3	4	24	64	Preserved
S08-radial-linear-rgb	radial/linear-rgb	3	4	24	64	Preserved
S09-linear-oklab	linear/oklab	4	5	43	64	Preserved
S09-radial-oklab	radial/oklab	4	5	43	64	Preserved
S09-linear-linear-rgb	linear/linear-rgb	4	5	41	64	Preserved
S09-radial-linear-rgb	radial/linear-rgb	4	5	41	64	Preserved
S10-linear-oklab	linear/oklab	8	8	20	64	Preserved
S10-radial-oklab	radial/oklab	8	8	20	64	Preserved
S10-linear-linear-rgb	linear/linear-rgb	8	8	21	64	Preserved
S10-radial-linear-rgb	radial/linear-rgb	8	8	21	64	Preserved
S11-linear-oklab	linear/oklab	16	16	325	64	Violated
S11-radial-oklab	radial/oklab	16	16	325	64	Violated
S11-linear-linear-rgb	linear/linear-rgb	16	16	365	64	Violated
S11-radial-linear-rgb	radial/linear-rgb	16	16	365	64	Violated
S12-linear-oklab	linear/oklab	32	32	179	64	Violated
S12-radial-oklab	radial/oklab	32	32	179	64	Violated
S12-linear-linear-rgb	linear/linear-rgb	32	32	290	64	Violated
S12-radial-linear-rgb	radial/linear-rgb	32	32	290	64	Violated
S13-linear-oklab	linear/oklab	2	4	4	64	Preserved
S13-radial-oklab	radial/oklab	2	4	4	64	Preserved
S13-linear-linear-rgb	linear/linear-rgb	2	4	4	64	Preserved
S13-radial-linear-rgb	radial/linear-rgb	2	4	4	64	Preserved
S14-linear-oklab	linear/oklab	3	6	6	64	Preserved
S14-radial-oklab	radial/oklab	3	6	6	64	Preserved
S14-linear-linear-rgb	linear/linear-rgb	3	6	6	64	Preserved
S14-radial-linear-rgb	radial/linear-rgb	3	6	6	64	Preserved
S15-linear-oklab	linear/oklab	8	16	16	64	Preserved
S15-radial-oklab	radial/oklab	8	16	16	64	Preserved
S15-linear-linear-rgb	linear/linear-rgb	8	16	16	64	Preserved
