decision_id	subject	measurement_before_decision	decision	classification	refuter	status
D01	G04 stop ontology	P1266 G04 merged all effective offsets;L0 requires original offsets/order/discontinuities/alpha/envelope and says literal count is mechanics	Split G04A original/declarative stops from G04B exporter-adaptive stops;protect original sequence exactly and adaptive sequence by interval/support/envelope	CONTRACT-CORRECTION	L0 or ratified language probe proving literal adaptive carrier/count/orthography changes user-visible semantics despite identical protected sequence and envelope	CANDIDATE-UNSEALED
D02	G04 historical failures	All 74 failed conjunction rows also failed the merged G04,but P1266 did not label stop provenance	Do not reinterpret any historical row as pass;G04 outcome under v2 is UNKNOWN until provenance-aware oracle reruns	UNKNOWN	frozen P1266 artifacts that independently separate original and adaptive stops and demonstrate every G04A/G04B observable	CANDIDATE-UNSEALED
D03	G10 fixed global cap	P1266 imposed <=64 total;L0 and both source implementations place MAX_SUBDIVISIONS=64 inside per-interval traversal	Delete fixed global cap;adopt per-interval and affine total bounds	CONTRACT-CORRECTION	authoritative L0 requiring fixed total<=64 or a trace violating the derived interval bounds	CANDIDATE-UNSEALED
D04	G10 termination	At each failing midpoint n doubles only while n<64;accepted leaves are enumerated and yielded;maximum depth is 6	Publish <=63 adaptive interiors and <=127 midpoint decisions per eligible interval;finite M implies deterministic termination and E<=M+63R	CONTRACT-CORRECTION	executable trace of cited algorithm exceeding these maxima or cycling without input mutation	CANDIDATE-UNSEALED
D05	P1266 cost observations	36 fixtures exceeded the false global cap;maximum 774;P1266 itself notes the cap is interval-local	These totals alone are not product divergences;their v2 G10 result is UNKNOWN until interval-attributed evidence is produced	UNKNOWN	P1266 trace publishing M,R,a_i and decisions and showing a per-interval or affine-bound excess	CANDIDATE-UNSEALED
D06	S20	P1266 measured zero-width box with 8pt stroke and positive painted area;old G07 demanded zero paint	Require positive stroke support matching vanilla morphology plus closed graph/correct geometry	CONTRACT-CORRECTION	independent ratified geometry proving the 8pt stroke support is empty	CANDIDATE-UNSEALED
D07	S20 historical result	Old boolean only established positive paint under a criterion that called it failure;it did not compare the painted region morphology	Do not convert old S20 failure to success;v2 S20 remains UNKNOWN pending region oracle	UNKNOWN	frozen P1266 raster/support evidence that fully compares S20 region,graph and geometry under v2	CANDIDATE-UNSEALED
D08	S21	P1266 measured zero-height fill and no positive-area paint	Require zero positive-area fill plus closed graph/correct geometry,independent of S20	CONTRACT-CORRECTION	independent ratified geometry proving positive S21 painted support	CANDIDATE-UNSEALED
D09	residual numeric failures	P1267 records 24 G05 budget failures;G05 language envelope remains unchanged	Treat a reproducible excess over frozen G05 limits as PRODUCT-DIVERGENCE,not as contract correction	PRODUCT-DIVERGENCE	independent rerun showing budget/oracle drift or all metrics within frozen limits	CANDIDATE-UNSEALED
D10	P1266 immutability	P1267 states P1266 receipts remain immutable and successor never rewrites history	Retain P1266 certificate and rows exactly;R2 uses new artifact identities	CONTRACT-CORRECTION	explicit owner instruction authorizing historical rewrite	CANDIDATE-UNSEALED
D11	R2 promotion	P1267 gate forbids converting any candidate result into success and sends v2 to independent oracle/attack authorship	All four pair verdicts remain Unknown-generalization;fallback/product default unchanged;no seal emitted	UNKNOWN	future independent positive,negative and opaque suites with mutation_score=1.0,deterministic rerun and valid seal	CANDIDATE-UNSEALED
