pair	fixture_id	role	metric	worst_t	nearest_declared	distance_to_declared	position_class	public_rgb_saturated	public_alpha	error	limit	excess	classification
radial/oklab	candidate-radial-oklab-base-square-fill	fill	color_max	0.555419921875	0.37	0.185419921875	segment-interior	true	1	0.0077448526051822489	0.0051564920000000004	0.0025883606051822486	open
radial/oklab	candidate-radial-oklab-base-square-fill	fill	alpha_max	0	0	0	declared-boundary	true	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
radial/oklab	candidate-radial-oklab-two-wide-stroke	stroke	color_max	0.99169921875	1	0.00830078125	endpoint-near	false	1	0.0090719389820204666	0.0089996999999999994	7.2238982020467191e-05	open
radial/oklab	candidate-radial-oklab-two-wide-stroke	stroke	alpha_max	0	0	0	declared-boundary	true	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
radial/oklab	candidate-radial-oklab-coincident-tall-fill	fill	color_max	0.292236328125	0	0.292236328125	segment-interior	true	1	0.007775225863656479	0.0050832289999999999	0.0026919968636564791	open
radial/oklab	candidate-radial-oklab-coincident-tall-fill	fill	alpha_max	0	0	0	declared-boundary	false	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	fill	color_max	0.555419921875	0.37	0.185419921875	segment-interior	true	1	0.0077448526051822489	0.0057840890000000001	0.0019607636051822488	open
radial/oklab	candidate-radial-oklab-alpha-first-square-fill	fill	alpha_max	0.18017578125	0	0.18017578125	segment-interior	false	0.69411764705882351	0.0038503606271529378	0.0038429650000000003	7.3956271529375395e-06	open
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	stroke	color_max	0.55419921875	0.37	0.18419921875	segment-interior	true	0.57647058823529407	0.0073261313215508524	0.0066987620000000005	0.00062736932155085193	open
radial/oklab	candidate-radial-oklab-alpha-mid-wide-stroke	stroke	alpha_max	0.68505859375	1	0.31494140625	segment-interior	true	0.70196078431372544	0.0038632136418942364	0.0038700230000000002	-6.8093581057637742e-06	within-envelope
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	fill	color_max	0.408935546875	0.37	0.038935546875000004	segment-interior	false	0.96470588235294119	0.0065354447830654906	0.0065139180000000005	2.1526783065490065e-05	open
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	fill	alpha_max	0.684814453125	0.37	0.314814453125	segment-interior	true	0.70196078431372544	0.003736770215285623	0.003761412	-2.4641784714376971e-05	within-envelope
