input	path	sha256
p1268_preseal	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-preseal.tsv	365d1d30847fb93423305c4c3bd259da2a0f2140f0e4435771ec2b8916e432c2
p1268_contract	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-author-contract-v3.tsv	cb2aabaf36703bef3ef869f9a150ca8f38f5e596f1a8523c19016a283b024399
p1268_budgets	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-oracle-v3-budgets.tsv	8b45e9145f72d252b74a96e11c566bc86a36fd7e3bd1802cf027b970a2556772
p1268_interval_cost	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-oracle-v3-interval-cost.tsv	d007e2af176b2f6b4285306433d63102a68d4b814d2d63919407c37852d340e5
p1268_attacks	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-adversary-attacks.tsv	86393124a5209ab8376224a1a84a22d3275220a0869c4ce8bab530df35e3af8b
p1268_opaque	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1268-adversary-opaque-cases.tsv	f7e48b49ec4c4ec930fe497389118e826d7f03af676816170ab4c9cfd83b0bc5
p1266_matrix	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1266-generalization-matrix.tsv	091d50354eb2b206d595c88a96b76eb8b9d8e8a881b2f0d3f5901edf9cce5406
p1266_harness	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_generalize.py	47bcdc4086517107f7f54cccd526c5dfedaf8c8520b8264aa37d4a4837e63aa6
p1269_adjudicator	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1269-adjudicator.py	19b121a13b78a7ac2bf8cbb1c8504302db1c0851284021d0e70b475f12bc503b
vanilla	/usr/local/bin/typst	7b4f40c56d6fa95082ebcfd893e275d418ebcaed1b97b62785f78284c63ff7b8
candidate	/repos/Antigravity/typst-crystalline/target/debug/typst	f152d0dead810054996bdc8e1450022746b7dd2405d73d3237baa024297ae555
probe_source	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_probe/src/main.rs	a01ed3a4830cbe56eaa8079738146f4c57f66d9830853e1a9e3d7a1d5eef87e1
probe_binary	/repos/Antigravity/typst-crystalline/lab/parity/matrix/p1266_probe/target/debug/p1266-svg-generalization-probe	5a52332be8048ecef1ffaba1f6a2b4bc56cdfd57478fa613c05a298e7002b827
p1271_receipts	/repos/Antigravity/typst-crystalline/00_nucleo/diagnosticos/p1271-execution-receipts.tsv	35a5c46af171b5151d12eeda66c04f2100b780d1de87014b0af03daab3c17cfd
