path	probe_id	profiles	runtime_class_by_profile	previous_class	transition	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_sha256	consumer_unique	consumer_prompt_hash	language_observable	normative_intent	normative_evidence	causal_hypothesis	refutation	gate_class	universe	canonical_route	cohort_id	historical_cohort_only	measurement_ref
accent	path-accent	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	DOCUMENTED_PRODUCT_EXTENSION	UNCHANGED_COMPLETE_CHANNELS	EXTRA_LANGUAGE_BINDING_INTENT_PENDING	01_core/src/compiler/stdlib/structural/math.rs:1141	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/math.md	4c0fe0f10d5d673f5de36ce48ceef9871307b13d2d229dad0a458062f9cdc7fb	01_core/src/compiler/stdlib/structural/math.rs	e658276b	repr((type(accent), repr(accent)))	Awaiting current independent extension-evidence read; not excluded from raw denominator.	00_nucleo/prompts/compiler/stdlib/structural/math.md:1	Current path witnesses the stated runtime gap. Historical cohort is only a search pointer; discovery ownership does not establish a complete future implementation owner set.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	math.accent		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-accent
align	path-align	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(align), repr(align)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	align		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-align
alignment.axis	path-alignment.axis	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.axis), repr(alignment.axis)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.axis		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.axis
alignment.bottom	path-alignment.bottom	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.bottom), repr(alignment.bottom)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.bottom		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.bottom
alignment.center	path-alignment.center	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.center), repr(alignment.center)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.center		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.center
alignment.end	path-alignment.end	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.end), repr(alignment.end)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.end		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.end
alignment.horizon	path-alignment.horizon	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.horizon), repr(alignment.horizon)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.horizon		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.horizon
alignment.inv	path-alignment.inv	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.inv), repr(alignment.inv)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.inv		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.inv
alignment.left	path-alignment.left	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.left), repr(alignment.left)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.left		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.left
alignment.right	path-alignment.right	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	CLOSED_MEASURED_LOOKUP_REPR_ONLY	UNCHANGED_COMPLETE_CHANNELS	CLOSED_MEASURED_LOOKUP_REPR_ONLY	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.right), repr(alignment.right)))	Only this frozen path observation measured; L0 ownership is not a full-function parity certificate.	00_nucleo/prompts/compiler/eval.md:1	Current complete lookup/type/repr/diagnostic is bilateral; no claim about any unmeasured call.	Same literal source/profile equal complete channels refute the observed divergence; any further causal consumer refutes a claimed complete owner set.	NO_IMPLEMENTATION_AUTHORIZED_AUDIT	principal	alignment.right		true	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.right
