fixture_id	pair	mesh	V_color_max	V_color_p95	V_alpha_max	V_alpha_p95	source_sha256	vanilla_svg_sha256	mask_sha256	classification
S01-linear-oklch	linear/oklch	8192	0.02648326563333858	0.0035456467276993573	0.0	0.0	c933635ff52ddc58bfe745cf73d8c034806a20e8cd2a6bf7b6cd2be332e9ccf7	abf9480ad531d6aa1f1c18baeb8d096536070dcb6ac0f5fb8ea8aeb8100e9c6a	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-radial-oklch	radial/oklch	8192	0.02648326563333858	0.0035456467276993573	0.0	0.0	c46e396a7b1e90ddc4ee8265ee025889ae571b5012c84394e8d015d96e2b48ff	fc03fa9e542877f6e1c221c3dfdfe6357c30fb3168d6b0fb54b4e12f48610fba	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-linear-hsl	linear/hsl	8192	0.008307650970797685	0.002450738811542161	0.0	0.0	0429c346ef9ebd97b6d5e012d50918a6255c11ae8e63f6306b4bd35a08869e5e	258c5099724b34a65cbe4e73b5dd703951c34a56a455d566b253b2a72ec3d53c	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-radial-hsl	radial/hsl	8192	0.008307650970797685	0.002450738811542161	0.0	0.0	dded821a522dc7cbb11f6150a738970cc88992af13f7e79027f53bfedbc31daa	29cf6fdaacffc8e496928a53c39208831c5a668152745ca27ea07c0fc0ed1e05	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-linear-hsv	linear/hsv	8192	0.007484929351465486	0.0024131149912413005	0.0	0.0	d8ec9d1342c334e635137227de601d1b13653f58db86d6a1bbc593ccb071713d	85c62b9787c16c8c97ecc2d08efd522410cee9c369982a73544a2936a77315b9	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-radial-hsv	radial/hsv	8192	0.007484929351465486	0.0024131149912413005	0.0	0.0	2a9743eb9027c5360f6367d7c4006be48723002cb59d07ca660a4f9ba0901c61	40262d24d052c8c6a9d2920c2106548b8955c70ae916d154bc8d40778dbe2a12	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-linear-luma	linear/luma	8192	0.0020659326621316624	0.0018770503467707628	0.0	0.0	9ad6df69ae614a1d538a82ba75d53670cccdd61ae1e047c13d717543fe41764b	fafc1fb5f7df4338ea4852231e007e2c691620fb589496254f0549133d1ac2b2	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-radial-luma	radial/luma	8192	0.0020659326621316624	0.0018770503467707628	0.0	0.0	3cecc9ea56d169df131468d72f92efd48facd3a93f204b9073673a9422ca593f	2483317c29ac199132ef3c8319fe1b1dce76b1b0ab482f95dd12c6b8a109a008	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S02-linear-oklch	linear/oklch	8192	0.002833105952711594	0.0022975814792395004	0.0	0.0	4af94ed5ba703d7aab4681fc50090da75439fc501f8a767cf19a65bef5d224fc	f7c6f7ace858eb99bdb196cbb096b9d38aab9d4097ebe20031b453f125fa67bc	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	VanillaBaselineSealed
S02-radial-oklch	radial/oklch	8192	0.002833105952711594	0.0022975814792395004	0.0	0.0	5b417012d40c3fe1a0ab210b374b79e68a78e6fbd14571db78f5ecd3dfc45165	d4297a44a849a47956ffce98ffe1993023a1e825838c2f094dc184d7181d972f	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	VanillaBaselineSealed
