fixture_id	pair	mask_pixels	mask_sha256	V_raster_max	candidate_raster_max	V_raster_p95	candidate_raster_p95	byte_slack	status
S01-linear-oklch	linear/oklch	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.01568627450980392	0.01568627450980392	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S01-radial-oklch	radial/oklch	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.027450980392156862	0.027450980392156862	0.0039215686274510775	0.0039215686274510775	0.00392156862745098	Preserved
S01-linear-hsl	linear/hsl	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.007843137254902044	0.007843137254902044	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-radial-hsl	radial/hsl	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.007843137254902044	0.007843137254902044	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-linear-hsv	linear/hsv	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.007843137254901933	0.007843137254901933	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-radial-hsv	radial/hsv	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.00784313725490196	0.00784313725490196	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S01-linear-luma	linear/luma	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.0039215686274510775	0.0039215686274510775	0.0039215686274509665	0.0039215686274509665	0.00392156862745098	Preserved
S01-radial-luma	radial/luma	25600	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	0.0039215686274510775	0.0039215686274510775	0.0039215686274509665	0.0039215686274509665	0.00392156862745098	Preserved
S02-linear-oklch	linear/oklch	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.007658592848904244	0.007658592848904244	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S02-radial-oklch	radial/oklch	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.0076585928489043	0.0076585928489043	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S02-linear-hsl	linear/hsl	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.007843137254902044	0.007843137254902044	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
S02-radial-hsl	radial/hsl	9585	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	0.011534025374855816	0.011534025374855816	0.003921568627451022	0.003921568627451022	0.00392156862745098	Preserved
