gate	status	evidence
baseline	PASS	binary patch plus untracked tar frozen with hashes
contract	PASS	paint morphology contract frozen
oracle	PASS	9 accepted public fixtures repeated twice
adversarial	PASS	26/26; score 1.0; 4 positives; 8 opaques
determinism	PASS	seeds 1227001 and 1227002
implementation	PASS	FrameItem::Shape.fill transports Paint; SVG emits native supported servers and marked fallbacks
l0	PASS	layout_types shape layout and SVG prompts amended and hashes repaired
adr0127	PASS	owner confirmed public L1-to-L3 contract change on 2026-08-26
tests	PASS	5/5 P1227 and 11/11 SVG tests; typst-core test target compiles; cargo build passes
public-ab	PARTIAL	sRGB fixture emits native server; non-sRGB/conic remain Unknown; coincident transparent stop fixture still Violated before SVG
isolation	NOT-ATTESTED	shared capabilities and declared allowlist violations
final	PARTIAL	productive slice complete; broader paint parity remains intentionally open
