corpus	families	preserved	violated	unknown	executable_semantic_witness	mechanics_excluded
C01-tiling-clip-link	tiling-fill; geometric-clip; same-page-internal-link; transform	Repeated tiling landmarks remain clipped by the transformed local geometry; the clickable visual descendants remain present; exactly one local link edge resolves to its homologous destination node at the measured page-space position	Any tile landmark crosses the clip, the clip or transform is omitted/applied twice, visual or clickable descendants disappear, or the link edge is pending, captured, duplicated or points to a non-homologous node	Nonfinite/unrepresentable clip or tiling geometry, missing destination position, or a destination outside the page-local registry makes only the dependent observation Unknown; it must not authorize a synthetic edge, node, route or preservation claim	Build the directed graph of local references and definitions; require every edge resolves once, rasterize landmarks in page space, require repeated red/blue tile order only inside the transformed clip, and hit-test the preserved link region against the destination node	Exact SVG bytes; concrete ID names; XML attribute spelling; defs order; equivalent transform factorization
C02-paint-image-cover	gradient-or-paint-server; alpha; EXIF-oriented-raster-image; cover-clip	Gradient landmarks and alpha, the asymmetric image orientation, resolved image box and cover intersection are all visible together without one family changing another's spatial basis	Fill/stroke are exchanged, alpha is lost, orientation is ignored or doubled, MIME/content is incoherent, fit is recomputed, or cover pixels leak/disappear inside the intended intersection	Unsupported paint, ambiguous image kind, missing orientation carrier, nonfinite box/clip, unavailable decoder or unobservable alpha remains Unknown for that observation and never becomes Preserved by omission	Rasterize over transparent background; sample distinct gradient stops and alpha, asymmetric oriented image corners and inside/outside cover points; verify the image resource resolves under its coherent media kind and all samples occupy the resolved page-space bounds	Base64 text; encoded raster bytes; compression; data-URL spelling; paint-server names; defs order
C03-glyph-link-transform	direct-math-glyph; same-page-internal-link; nested-noncommuting-transform; fill-alpha	The glyph outline from the pipeline-resolved complete FontKey, its fill/alpha and one Y inversion occupy the intended transformed position; the enclosing link edge resolves to the measured local destination while retaining its clickable descendants	An incidental font or same glyph_id from another face is selected, base_char/tofu substitutes the outline, scale/Y/ancestor transform is omitted or doubled, alpha changes, or the link graph becomes pending/captured	Absent/conflicting request mapping, missing face/outline, zero units_per_em, nonfinite transform or absent destination remains Unknown and emits neither fabricated glyph/text nor invented link target	Compare contour landmarks against the resolved face, page-space bounds under noncommuting transforms, fill RGBA and link hit region; require one closed edge-to-node relation and stable result when the font collection is reversed	Path command spelling; defs/use choice; glyph and destination ID names; font collection index; defs order
C04-embedded-svg-tiling-stroke	embedded-self-contained-SVG; tiling-fill; complex-stroke; alpha	Nested red/blue/alpha SVG landmarks survive as one image resource while repeated tiling morphology and complex stroke width/caps/joins/dashes remain visible in their declared geometry	Embedded shape or alpha is lost, the image escapes its box, tiling phase/pitch changes, stroke is simplified or exchanged with fill, or a cross-family ID captures the wrong definition	Compressed, externally dependent or ambiguous SVG root; unsupported tiling body; or unrepresentable stroke/geometry remains Unknown only for its dependent claim, with explicit fallback where required	Decode and rasterize the embedded SVG independently and in the composed page; sample red, blue and translucent overlap; measure at least two tiling repetitions and stroke landmarks for width/cap/join/dash; require every image/pattern/paint reference resolve to the intended kind	Nested SVG source bytes; base64; concrete resource names; equivalent path segmentation; defs order
C05-two-page-locality	page-local-destination; cross-page-destination; raster-image; geometric-clip	On each page, same-page links resolve only to homologous local nodes; the clipped raster landmark remains visible; a cross-page target without an explicit route preserves visual/link descendants but has no pending fragment	A same-page edge is missing or targets the other page, IDs collide across page-local graphs, a cross-page fragment/position/route is fabricated, visual descendants disappear, or the image ignores its clip	The cross-page edge without caller-owned route is canonically Unknown; missing/nonfinite local position, ambiguous image format or invalid clip is also Unknown and cannot be promoted by another family's success	Construct a separate reference graph per page; require all same-page edges closed locally, no cross-page edge in either graph, explicit Unknown classification for the cross-page carrier, and raster samples visible only inside the page-space clip	Whether page-local IDs repeat across separate SVG documents; filename/URI spelling when an explicit route is absent; bytes; defs order
C06-cross-family-id-collisions	glyph-def; paint-server; tiling-pattern; clip-path; destination-node	Five deliberately colliding source labels remain five semantically typed definitions or otherwise unambiguously separated identities; each use edge reaches the intended glyph, paint, pattern, clip or destination and the composed visible morphology is unchanged under alpha-renaming	Any edge is captured by another definition kind, any definition is orphaned/pending/duplicated incompatibly, visible glyph/paint/tiling/clip/link morphology changes, or collision handling depends on encounter order	An opaque or unsupported definition remains Unknown only if no false edge or visible substitution is created; ambiguity in any required edge prevents whole-corpus Preserved	Parse all local href/url/clip-path edges into a typed multigraph; require one existing compatible target per edge, no incompatible cross-kind capture, expected visible landmarks and alpha, then alpha-rename all IDs and reverse defs order and require the same canonical typed graph and raster witness	Concrete ID strings; namespace prefixes; hash/dedup algorithm; defs order; XML bytes
G01-unknown-policy	all-six-corpora	Preserved observations may coexist with explicitly Unknown observations only when the verdict vector retains each component and no aggregate success hides opacity	Unknown is converted to Preserved, silently omitted from the verdict vector, used to fabricate content/reference/route, or forgiven because three other families pass	Ambiguous, opaque, unsupported, missing-carrier, externally dependent or nonfinite constructions are canonically Unknown; Unknown never enters a positive count or mutation success	Emit a verdict vector keyed by corpus and observable with values Preserved/Violated/Unknown; require every declared opaque component equal Unknown in direct, repeated and reordered runs	Formatting and ordering of the verdict vector after canonical key sorting
G02-reference-graph	all-six-corpora	Every local edge used for glyph, paint, pattern, clip, image or destination resolves to exactly one compatible definition/node; alpha-renaming and defs reordering preserve typed graph isomorphism	Pending edge, orphan required node, incompatible cross-kind capture, accidental alias, non-equivalent deduplication or encounter-order-dependent resolution	An intentionally absent edge for a declared Unknown fallback remains Unknown and must not be inserted into the preserved graph	Canonicalize nodes by semantic kind plus observable payload and edges by owner/use role; compare graph isomorphism before and after bijective ID renaming and reverse defs order	Concrete names, generated prefixes, node serialization order and defs placement
G03-geometry-visible-alpha	all-six-corpora	Final page-space bounds, noncommuting transform composition, clips, visible landmarks and alpha match each corpus contract across all interacting families	Any family changes another family's basis, transform occurs zero/twice, clip uses wrong space, content disappears/substitutes, or alpha/fill/stroke differs visibly	Nonfinite or unrepresentable geometry and unavailable rendering evidence remain Unknown rather than inferred from XML presence	Render over transparent background at fixed scale; compare declared landmark regions, bounds and RGBA tolerances plus typed graph witness; XML presence alone is insufficient	Equivalent path decomposition, matrix spelling, antialiasing inside declared tolerance and renderer-internal algorithms
G04-determinism-reordering	all-six-corpora	Two fresh complete executions and a run with corpus/font/defs traversal orders reversed yield identical canonical semantic graph, geometry, landmark RGBA and verdict vector	Any semantic observation, typed edge, page-space geometry, alpha or verdict depends on execution or traversal order	Every predeclared Unknown remains Unknown in all runs; instability never downgrades a contradiction to Unknown	Serialize canonical tuples sorted by corpus, observable and typed graph key; SHA-256 them; require run1=run2=reordered while separately requiring all positive and opaque expectations	Whole SVG byte identity is neither required nor sufficient; ID names, defs order, attribute order and base64 are excluded
