gate	command_or_basis	result	status
workspace_build	cargo build --workspace	PASS	Preserved
workspace_tests	cargo test --workspace	6332 passed;0 failed;3 doc tests ignored	Preserved
root_format	cargo fmt --all -- --check	PASS	Preserved
probe_format	cargo fmt --manifest-path lab/parity/matrix/p1266_probe/Cargo.toml -- --check	PASS	Preserved
python_syntax	python3 -m py_compile lab/parity/matrix/p1266_generalize.py	PASS	Preserved
diff_check	git diff --check	PASS	Preserved
tekt_focus	crystalline-lint --checks v1,v5,v15,v26 .	zero violations	Preserved
full_lint	crystalline-lint .	zero violations;preexisting informational V16-V20	Preserved
p1264_control	protected P1264 certificate and manifest hashes unchanged	PASS	Preserved
svg_l0	sha256 41c5d785d9e4ecdb184fd5e6344dd7422d874e826e3bdeac2ddb2d6617530d29	unchanged from P1265	Preserved
svg_product	sha256 ffd9b7095fc52b1aab222003be2018431885ea1bdb301ab9403a35bbbc0d3165	unchanged from P1265	Preserved
adaptive_l0	sha256 4e2e19b5af1aab3c33596166fbcef647df1aceed1739bab395d432126f46d737	unchanged from P1264	Preserved
adaptive_product	sha256 dd2c3a696c63ded7df7a5b56c5103f3d70b404bf7bf50d021d0d592530e2b331	unchanged from P1264	Preserved
