id	expression	vanilla_exit	vanilla_observable	class	source_file_line	mutant_rejected
frac_lt	1fr < 2fr	0	true	positive	foundations/ops.rs:481	fraction absent
frac_leq_eq	2fr <= 2fr	0	true	boundary	foundations/ops.rs:481	wrong equality boundary
frac_int	1fr < 2	1	cannot compare fraction and integer	negative	foundations/ops.rs:497-500	invented cross-type coercion
decimal_int_lt	decimal("1.0") < 2	0	true	positive	foundations/ops.rs:487-488	missing exact coercion
int_decimal_gt	2 > decimal("1.0")	0	true	positive-reverse	foundations/ops.rs:487-488	one-way implementation
decimal_fraction	decimal("1.5") < 2	0	true	precision	foundations/ops.rs:487-488	float conversion
decimal_float	decimal("1.0") < 2.0	1	cannot compare decimal and float	negative	foundations/ops.rs:497-500	invented float coercion
decimal_array	(decimal("1.0"),) < (2,)	0	true	nested	foundations/ops.rs:523-530	lost nested branch
ratio_rel_lt	10% < (20% + 0pt)	0	true	positive	foundations/ops.rs:492,494	missing guarded branch
rel_ratio_gt	(20% + 0pt) > 10%	0	true	positive-reverse	foundations/ops.rs:492,494	one-way implementation
ratio_rel_abs	10% < (20% + 1pt)	1	cannot compare ratio and relative length	guard-negative	foundations/ops.rs:492,494	removed abs-zero guard
ratio_array	(10%,) < ((20% + 0pt),)	0	true	nested	foundations/ops.rs:523-530	lost nested branch
date_lt	datetime(year: 2020, month: 1, day: 1) < datetime(year: 2021, month: 1, day: 1)	0	true	date	foundations/datetime.rs:518-526; foundations/ops.rs:497	missing date order
time_gt	datetime(hour: 2, minute: 0, second: 0) > datetime(hour: 1, minute: 0, second: 0)	0	true	time	foundations/datetime.rs:518-526; foundations/ops.rs:497	missing time order
datetime_lt	datetime(year: 2020, month: 1, day: 1, hour: 1, minute: 0, second: 0) < datetime(year: 2020, month: 1, day: 1, hour: 2, minute: 0, second: 0)	0	true	datetime	foundations/datetime.rs:518-526; foundations/ops.rs:497	missing datetime order
date_time	datetime(year: 2020, month: 1, day: 1) < datetime(hour: 1, minute: 0, second: 0)	1	cannot compare date and time	kind-negative	foundations/ops.rs:507-510	generic datetime names
date_datetime	datetime(year: 2020, month: 1, day: 1) < datetime(year: 2020, month: 1, day: 1, hour: 1, minute: 0, second: 0)	1	cannot compare date and datetime	kind-negative	foundations/ops.rs:507-510	kind collapse
time_datetime	datetime(hour: 1, minute: 0, second: 0) < datetime(year: 2020, month: 1, day: 1, hour: 1, minute: 0, second: 0)	1	cannot compare time and datetime	kind-negative	foundations/ops.rs:507-510	kind collapse
date_array	(datetime(year: 2020, month: 1, day: 1),) < (datetime(year: 2021, month: 1, day: 1),)	0	true	nested	foundations/ops.rs:523-530	lost nested branch
negative_fraction_syntax	-2fr < -1fr	2	unexpected argument '-2' found	UNKNOWN-parser	public parser	must remain Unknown
