id	contract_id	semantic_negative_mutation	mechanical_invariant	expected_result	witness	valid_for_mutation_score
A01	C01	Inject a nonempty local clip reference into a group whose clip_mask is None.	ID spelling, defs placement, serialization bytes, and whether an unused definition is emitted are immaterial; the owner-to-clip semantic edge must remain absent.	Violated	Render a child rectangle extending across the whole group with clip_mask=None; witness any loss of visible area attributable to an added group clip.	YES_IF_EXECUTED
A02	C02	Serialize a representable Rect clip with width or height taken from the outer page/group bounds instead of inner_width and inner_height.	The clip may be encoded as rect or an equivalent path, with any local ID and defs order.	Violated	Use a child painted both inside and just outside a smaller inner rectangle; witness survival outside the intended rectangle or removal strictly inside it.	YES_IF_EXECUTED
A03	C03	Collapse a RoundedRect clip to one radius, swap two unequal corner radii, or emit a plain rectangle.	Arc command choice, path starting point, segment spelling, and equivalent closed-path rotation are mechanical.	Violated	Use four distinct transported corner radii and paint probes near every corner; witness a probe whose visibility differs from the four-radius rounded region.	YES_IF_EXECUTED
A04	C04	Replace an Ellipse clip with its rectangular bounding box or derive one ellipse axis from the wrong dimension.	Ellipse element versus an equivalent path, ID spelling, and numeric lexical formatting are mechanical.	Violated	Paint probes inside the bounding-box corners but outside the intended ellipse plus one probe strictly inside; witness corner survival or interior loss.	YES_IF_EXECUTED
A05	C05	Drop, reorder, reverse with changed nonzero winding effect, or geometrically alter a transported Path subpath or curve.	Equivalent path command normalization, absolute versus relative commands, and cyclic choice of a closed subpath's start are mechanical.	Violated	Use a finite nonzero path with multiple subpaths including a hole or disjoint lobe; witness visible content in a region whose nonzero membership changed.	YES_IF_EXECUTED
A06	C06	When applying a descendant clip, replace rather than intersect the ancestral clip, or omit the descendant clip.	Separate nested clip references versus a semantically equivalent pre-intersected region are mechanical when the resolved visible intersection is identical.	Violated	Use partially overlapping ancestral and descendant rectangles and paint in ancestor-only, descendant-only, intersection, and outside regions; witness visibility anywhere except the intersection.	YES_IF_EXECUTED
A07	C07	Apply group position or transform to the clip zero times or twice while applying it once to the children, or vice versa.	Whether the shared transform is carried on a g, clipPath, geometry, or an equivalent local wrapper is mechanical if clip and children share one basis.	Violated	Use a translated, non-uniformly transformed group with a clipped child crossing the local boundary; witness relative displacement or deformation between the clip edge and child.	YES_IF_EXECUTED
A08	C08	Emit a dangling clip-path reference, resolve it to a different local definition, or create duplicate local IDs with ambiguous ownership.	The concrete ID token, url quoting, href spelling where equivalent, and defs position are mechanical.	Violated	Resolve every owner clip-path edge in the emitted semantic graph; witness zero or multiple targets, or a unique target whose region differs from the owner's required clip.	YES_IF_EXECUTED
A09	C09	Make clip semantics depend on identifier spelling or definition order so that alpha-renaming or reordering equivalent definitions changes resolution or visible clipping.	Alpha-renaming and permutation of definitions are required metamorphic invariants; byte identity and stable numeric suffixes are not.	Violated	Take one resolved graph, bijectively rename all clip IDs and references and reorder its definitions; witness any owner-target, spatial, geometric, or visible-region change.	YES_IF_EXECUTED
A10	C10	Promote an even-odd-dependent Path clip as preserved while interpreting it with nonzero winding.	Path command spelling, subpath start, ID token, and defs order do not cure the absent fill-rule carrier.	Violated	Use two same-winding nested closed subpaths whose center is outside under even-odd and inside under nonzero; witness center content surviving together with a preservation claim.	YES_IF_EXECUTED
A11	C11	Claim an alpha-dependent clip_mask request is preserved by a solid geometric clip, mask/filter/opacity substitution, or rasterization.	Choice among SVG mask machinery, filter syntax, opacity placement, raster encoding, and ID spelling cannot establish equivalence for this geometric-only contract.	Violated	Use a mask with at least two nonzero alpha levels over otherwise identical painted content; witness a preservation claim or solid binary visibility where graded alpha visibility is required.	YES_IF_EXECUTED
A12	C12	For nonfinite, incomplete, or unrepresentable clip geometry, claim preservation, silently treat the clip as absent, or silently remove the children.	NaN/Infinity lexical spelling, diagnostic attribute spelling, and unsupported-representation encoding are mechanical; an explicit Unknown/CONTRACT-GAP disposition is semantic.	Violated	Supply one missing or nonfinite required dimension/control and a visibly painted child; witness Preserved, silent full visibility, or silent empty visibility instead of explicit Unknown/CONTRACT-GAP.	YES_IF_EXECUTED
