mutant_id	executed	witness	status
M01-drop-one-pair	true	population becomes 72	REJECTED
M02-linear-promotes-radial	true	Radial has independent receipts	REJECTED
M03-oklab-promotes-linear-rgb	true	LinearRgb has independent receipts	REJECTED
M04-use-only-p1237	true	generalization population is 96	REJECTED
M05-ignore-color-p95	true	four-metric conjunction schema	REJECTED
M06-ignore-alpha	true	alpha schema present on all fixtures	REJECTED
M07-alpha-after-u8	true	floating alpha witness is not byte-valued	REJECTED
M08-widen-budget	true	sealed budget digest guard	REJECTED
M09-candidate-guided-mask	true	pre-candidate mask digest required	REJECTED
M10-drop-degenerate	true	zero-area seed guard	REJECTED
M11-positive-paint-zero-area	true	positive paint is detected and makes the affected fixture fail	REJECTED
M12-reset-anti-alias-on-repeat	true	sharp-then-repeat state remains false	REJECTED
M13-ignore-transform	true	asymmetric transform digests	REJECTED
M14-double-transform	true	single copied vanilla transform graph	REJECTED
M15-dedup-coincident	true	coincident source carriers retained	REJECTED
M16-sort-invalid-offsets	true	decreasing offsets rejected	REJECTED
M17-clamp-invalid-offsets	true	out-of-range offsets rejected	REJECTED
M18-invalid-as-unknown	true	invalid domain never enters Unknown	REJECTED
M19-unknown-as-success	true	success path has zero necessary Unknown	REJECTED
M20-ignore-cost	true	per-fixture cost receipt mandatory	REJECTED
M21-raise-cap	true	cap frozen at 64 even when violated	REJECTED
M22-order-sensitive	true	192 inverse/repeat receipts	REJECTED
M23-promote-productively	true	productive fallback boundary unchanged	REJECTED
M24-general-equivalence	true	certificate vocabulary is fragment-limited	REJECTED
