fixture_id	pair	fallback_markers	variant_nodes	productive_promotion	status
S01-linear-oklab	linear/oklab	1	0	false	Preserved
S01-radial-oklab	radial/oklab	1	0	false	Preserved
S01-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S01-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S02-linear-oklab	linear/oklab	1	0	false	Preserved
S02-radial-oklab	radial/oklab	1	0	false	Preserved
S02-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S02-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S03-linear-oklab	linear/oklab	1	0	false	Preserved
S03-radial-oklab	radial/oklab	1	0	false	Preserved
S03-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S03-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S04-linear-oklab	linear/oklab	1	0	false	Preserved
S04-radial-oklab	radial/oklab	1	0	false	Preserved
S04-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S04-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S05-linear-oklab	linear/oklab	1	0	false	Preserved
S05-radial-oklab	radial/oklab	1	0	false	Preserved
S05-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S05-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S06-linear-oklab	linear/oklab	1	0	false	Preserved
S06-radial-oklab	radial/oklab	1	0	false	Preserved
S06-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S06-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S07-linear-oklab	linear/oklab	1	0	false	Preserved
S07-radial-oklab	radial/oklab	1	0	false	Preserved
S07-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S07-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S08-linear-oklab	linear/oklab	1	0	false	Preserved
S08-radial-oklab	radial/oklab	1	0	false	Preserved
S08-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S08-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S09-linear-oklab	linear/oklab	1	0	false	Preserved
S09-radial-oklab	radial/oklab	1	0	false	Preserved
S09-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S09-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S10-linear-oklab	linear/oklab	1	0	false	Preserved
S10-radial-oklab	radial/oklab	1	0	false	Preserved
S10-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S10-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S11-linear-oklab	linear/oklab	1	0	false	Preserved
S11-radial-oklab	radial/oklab	1	0	false	Preserved
S11-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S11-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S12-linear-oklab	linear/oklab	1	0	false	Preserved
S12-radial-oklab	radial/oklab	1	0	false	Preserved
S12-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S12-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S13-linear-oklab	linear/oklab	1	0	false	Preserved
S13-radial-oklab	radial/oklab	1	0	false	Preserved
S13-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S13-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S14-linear-oklab	linear/oklab	1	0	false	Preserved
S14-radial-oklab	radial/oklab	1	0	false	Preserved
S14-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S14-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
S15-linear-oklab	linear/oklab	1	0	false	Preserved
S15-radial-oklab	radial/oklab	1	0	false	Preserved
S15-linear-linear-rgb	linear/linear-rgb	1	0	false	Preserved
S15-radial-linear-rgb	radial/linear-rgb	1	0	false	Preserved
