probe_id	profile	current_language_class	raw_state	cohort_id	universe	measurement_ref
P1137-S-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-S-001
P1137-E-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-E-001
P1137-B-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-B-001
P1137-I-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-I-001
P1137-L-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-L-001
P1137-X-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-001
P1137-X-002	default	EXPECTED_FEATURE_GATED	DISABLED_BY_PROFILE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-002
P1137-X-003	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-003
P1137-C-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-001
P1137-C-002	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-002
P1138-S-001	default	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-001
P1138-S-002	default	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-002
P1138-S-003	default	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-003
P1138-B-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-B-001
P1138-X-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-001
P1138-L-001	default	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-L-001
P1138-X-002	default	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-002
P1138-X-003	default	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-003
P1138-X-004	default	EXPECTED_FEATURE_GATED	DISABLED_BY_PROFILE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-004
P1288-B-001	default	EXPECTED_FEATURE_GATED	DISABLED_BY_PROFILE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1288-B-001
P1137-S-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-S-001
P1137-E-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-E-001
P1137-B-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-B-001
P1137-I-001	html	MISSING_PUBLIC_CLI_CAPABILITY	DIFFERENCE	query-cli-feature-option	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-I-001
P1137-L-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-L-001
P1137-X-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-001
P1137-X-002	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-002
P1137-X-003	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-003
P1137-C-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-001
P1137-C-002	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-002
P1138-S-001	html	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-001
P1138-S-002	html	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-002
P1138-S-003	html	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-003
P1138-B-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-B-001
P1138-X-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-001
P1138-L-001	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-L-001
P1138-X-002	html	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-002
P1138-X-003	html	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-003
P1138-X-004	html	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-004
P1288-B-001	html	EXPECTED_FEATURE_GATED	DISABLED_BY_PROFILE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1288-B-001
P1137-S-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-S-001
P1137-E-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-E-001
P1137-B-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-B-001
P1137-I-001	a11y	MISSING_PUBLIC_CLI_CAPABILITY	DIFFERENCE	query-cli-feature-option	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-I-001
P1137-L-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-L-001
P1137-X-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-001
P1137-X-002	a11y	EXPECTED_FEATURE_GATED	DISABLED_BY_PROFILE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-002
P1137-X-003	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-003
P1137-C-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-001
P1137-C-002	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-002
P1138-S-001	a11y	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-001
P1138-S-002	a11y	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-002
P1138-S-003	a11y	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-003
