fixture_id	pair	mesh	V_color_max	V_color_p95	V_alpha_max	V_alpha_p95	source_sha256	vanilla_svg_sha256	mask_sha256	classification
S01-linear-oklab	linear/oklab	8192	0.002769198382569682	0.002264477842777738	0.0	0.0	a1e2b088f906bdc253dcf62e20b315d01f7a221eef3a3067f1916ef11c2a55a9	eef7bd42846245fb204eeb9d6e2bfac10c1deb57180243bded8b1683714cae97	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-radial-oklab	radial/oklab	8192	0.002769198382569682	0.002264477842777738	0.0	0.0	996cc330e38771e87a4619029015ff8910c7eca7d5fde1d7b7c94012c3fd774d	f065ec6e60f9509ef769b63609be6b3b6f64b60e55d35159d6ee875564db6220	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-linear-linear-rgb	linear/linear-rgb	8192	0.0030987543835158675	0.002581746189050254	0.0	0.0	b2a6ed8bed211afa25b8f03c028f9ac27cd8c8354bada6787103c4847ff3aba7	0ac25c4ff1f3a091ccd804e641ff3ce5a4e37dac2530b988bc6196b2370da96e	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S01-radial-linear-rgb	radial/linear-rgb	8192	0.0030987543835158675	0.002581746189050254	0.0	0.0	54d27643a82de6781abddb73b323323a9905407fd1f78ce5bb88b892f34ac93c	8b5a2c92bbafbc3871fcf070f34f0d24e23fa99e546312b9a6fc190b5d004cfe	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	VanillaBaselineSealed
S02-linear-oklab	linear/oklab	8192	0.0028820180430856267	0.002718062605958206	0.0	0.0	d507ea7506c1dbfcd96d68de1a5b577e63601b5fd21d2ee982678f917d0c5678	6e56b9e0ce5f76a52541096629b6c7d03177a05ffb16536307c0596a7c011d94	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	VanillaBaselineSealed
S02-radial-oklab	radial/oklab	8192	0.0028820180430856267	0.002718062605958206	0.0	0.0	e2d634bee019cd4a4b53b4759614f5ace6664d669a1405bcbf246ef459d5e928	29156af0a5f15567f62f11dd63f24e17208a551f845f43585dfb8258bcaa037e	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	VanillaBaselineSealed
S02-linear-linear-rgb	linear/linear-rgb	8192	0.0029868053342224604	0.0025623337630611967	0.0	0.0	5ea845baf98ad51e6b525dd4bbfa8917174a5f77be3261a3fd69fcdab6299960	712e47c53e4ddfb85b17b11e0142f4290ee3913e8d3183110f2de22fbe43fa52	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	VanillaBaselineSealed
S02-radial-linear-rgb	radial/linear-rgb	8192	0.0029868053342224604	0.0025623337630611967	0.0	0.0	45d71f3c8f077016f24865447d3057acbf02f5dfcb0a9b947c11a9878360f406	707ab46f615247682011329053a13e5a3ff588283aec4505fbadb3396b390f79	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	VanillaBaselineSealed
S03-linear-oklab	linear/oklab	8192	0.015535274612448377	0.0024961400915437834	0.0024418849571078427	0.0	53b256c228f519ea6db2f5fcbba156bfa99f541a5cb717f4550f1c668b4689bc	43c00380b09e488d1627f81080560fb84681436f10879a8f501e9d69c89379a3	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	VanillaBaselineSealed
S03-radial-oklab	radial/oklab	8192	0.015535274612448377	0.0024961400915437834	0.0024418849571078427	0.0	a50377be86014500f6c7bf614ed6b903902c5cddd0d3b181a219dfc5023a3540	d455c6c9d17de945e3ee43dc29156352246a510015470b5bc545cdb6fa79ca37	cf49a7888f425140b594b79130fe0885973cfd3ab4b109aebfdfc24d1fcc6a19	VanillaBaselineSealed
