phase	fixture_id	pair	direct_digest	observed_digest	status
inverse	S24-radial-luma	radial/luma	c7264508b79965ca51db2a026dca25842478d0bee8b8a6ccb196943c03de92ca	c7264508b79965ca51db2a026dca25842478d0bee8b8a6ccb196943c03de92ca	Preserved
inverse	S24-linear-luma	linear/luma	7c4ff8a9d3d9f7f32fc20cf378fb24735c8f389690f4f141ab8fc8f0bd0c7427	7c4ff8a9d3d9f7f32fc20cf378fb24735c8f389690f4f141ab8fc8f0bd0c7427	Preserved
inverse	S24-radial-hsv	radial/hsv	a6dbdb8469969d04beddbf62116b5a08121b02df94d5cd5c5e39528273a8c5af	a6dbdb8469969d04beddbf62116b5a08121b02df94d5cd5c5e39528273a8c5af	Preserved
inverse	S24-linear-hsv	linear/hsv	62011976c30fe7232da30bb0bfc21f6a62e8d05f1cd21adaadf3a0a39cc2970b	62011976c30fe7232da30bb0bfc21f6a62e8d05f1cd21adaadf3a0a39cc2970b	Preserved
inverse	S24-radial-hsl	radial/hsl	aed7ea65236710a5357cf9822666a8c833fe8263f50835c384611492688f0b56	aed7ea65236710a5357cf9822666a8c833fe8263f50835c384611492688f0b56	Preserved
inverse	S24-linear-hsl	linear/hsl	86d75835c1d32ab4db11dd1010a8cbbc4e9c5cd4abe950099711f82767c5384c	86d75835c1d32ab4db11dd1010a8cbbc4e9c5cd4abe950099711f82767c5384c	Preserved
inverse	S24-radial-oklch	radial/oklch	739c630a807f03e6793dead152234c62cb598a5437fb3a8fc6d9a14cb59c98cb	739c630a807f03e6793dead152234c62cb598a5437fb3a8fc6d9a14cb59c98cb	Preserved
inverse	S24-linear-oklch	linear/oklch	1e17fdc81e617fbdbb2547436cdc324afb651a7fc543f7d89652decc202c9f9b	1e17fdc81e617fbdbb2547436cdc324afb651a7fc543f7d89652decc202c9f9b	Preserved
inverse	S23-radial-luma	radial/luma	76426ab801cec0561a16f140db62686039bcc0ddf457fc5ae91e8510904fd7f7	76426ab801cec0561a16f140db62686039bcc0ddf457fc5ae91e8510904fd7f7	Preserved
inverse	S23-linear-luma	linear/luma	c4b815967832a017be68c96c50c5b4617e99605a521a436949f5742767ce8ffc	c4b815967832a017be68c96c50c5b4617e99605a521a436949f5742767ce8ffc	Preserved
inverse	S23-radial-hsv	radial/hsv	a431ea1e804a61f4573ff49b5c3223836ba2adb37000f3c0f3268eae423b6f49	a431ea1e804a61f4573ff49b5c3223836ba2adb37000f3c0f3268eae423b6f49	Preserved
inverse	S23-linear-hsv	linear/hsv	7b64e212aa4b28186ff6494093a6c5b81475db40e1e87a0810e8fca9a823fc74	7b64e212aa4b28186ff6494093a6c5b81475db40e1e87a0810e8fca9a823fc74	Preserved
inverse	S23-radial-hsl	radial/hsl	5c40a6dde29db6f0ba238ee7451e2f5a9234558c1d48edbf7b3e6b5faf78ca32	5c40a6dde29db6f0ba238ee7451e2f5a9234558c1d48edbf7b3e6b5faf78ca32	Preserved
inverse	S23-linear-hsl	linear/hsl	72a458eab43058f6ba45f0b15c950873064b78f7c788da147ae66a19eaa5c296	72a458eab43058f6ba45f0b15c950873064b78f7c788da147ae66a19eaa5c296	Preserved
inverse	S23-radial-oklch	radial/oklch	1d5d557ee87fa4b62ff835d7dc82e15d4e676020c75edab0d8e4527979719335	1d5d557ee87fa4b62ff835d7dc82e15d4e676020c75edab0d8e4527979719335	Preserved
inverse	S23-linear-oklch	linear/oklch	5800551fe3d9bcc760e5cb1dbd6d4ed83698a270453d4b30f093ca413dc11eaf	5800551fe3d9bcc760e5cb1dbd6d4ed83698a270453d4b30f093ca413dc11eaf	Preserved
inverse	S22-radial-luma	radial/luma	26da723227de03781344d8bdc2fe9db20edffeb702682c889f9815280e87cc71	26da723227de03781344d8bdc2fe9db20edffeb702682c889f9815280e87cc71	Preserved
inverse	S22-linear-luma	linear/luma	aefcba318fe213438195addb5597742ff5f80bdc509595c98862e32f77334eec	aefcba318fe213438195addb5597742ff5f80bdc509595c98862e32f77334eec	Preserved
inverse	S22-radial-hsv	radial/hsv	aa12da27979d741c4113f9d15b11b41edba74a903c1257a12efc2030fb5ca29a	aa12da27979d741c4113f9d15b11b41edba74a903c1257a12efc2030fb5ca29a	Preserved
inverse	S22-linear-hsv	linear/hsv	b6137c6baced640f7af937983bca3a9032d7bd5d9f5d1e5ee900d46dc5e887ef	b6137c6baced640f7af937983bca3a9032d7bd5d9f5d1e5ee900d46dc5e887ef	Preserved
inverse	S22-radial-hsl	radial/hsl	44e0b6b9fea58c60092c52dee058e1ca83ce7eff1d8c1d6f6ecd44f668de5fe1	44e0b6b9fea58c60092c52dee058e1ca83ce7eff1d8c1d6f6ecd44f668de5fe1	Preserved
inverse	S22-linear-hsl	linear/hsl	4157be8a74fdc1ca1e1037b41dd0ba0dcf95c6d78eaff139a85c32ebb054db17	4157be8a74fdc1ca1e1037b41dd0ba0dcf95c6d78eaff139a85c32ebb054db17	Preserved
inverse	S22-radial-oklch	radial/oklch	1f562a1b3aec02c7376ff6dd52677e50b63ffb7af10dbb6a37e11dabb93b1c41	1f562a1b3aec02c7376ff6dd52677e50b63ffb7af10dbb6a37e11dabb93b1c41	Preserved
inverse	S22-linear-oklch	linear/oklch	91351ab45131c92ed867571a8bb3acc843880574a50290d4fcf9bef78f6d3862	91351ab45131c92ed867571a8bb3acc843880574a50290d4fcf9bef78f6d3862	Preserved
inverse	S21-radial-luma	radial/luma	d466395194065ddcdfbe623ac96e693130b4c036af29bb92eeb6ff260cee2a42	d466395194065ddcdfbe623ac96e693130b4c036af29bb92eeb6ff260cee2a42	Preserved
inverse	S21-linear-luma	linear/luma	f598f812659dd5b5135bdac02128bbf59f13dfaa7528df3eaeb5abddab8d08d6	f598f812659dd5b5135bdac02128bbf59f13dfaa7528df3eaeb5abddab8d08d6	Preserved
inverse	S21-radial-hsv	radial/hsv	95ef89bfaf5f1fc732a9b9db57837ce36673486c5e822f2cfb2ba21baeeb9429	95ef89bfaf5f1fc732a9b9db57837ce36673486c5e822f2cfb2ba21baeeb9429	Preserved
inverse	S21-linear-hsv	linear/hsv	a22a2fc40ab44d6e9f9f83f5fc66c0daa2f88053bf36e1617454421ef8ac994f	a22a2fc40ab44d6e9f9f83f5fc66c0daa2f88053bf36e1617454421ef8ac994f	Preserved
inverse	S21-radial-hsl	radial/hsl	c0681993d566179ddc2e4496da1f0e97ad8c7533c563c30818843c303251795f	c0681993d566179ddc2e4496da1f0e97ad8c7533c563c30818843c303251795f	Preserved
inverse	S21-linear-hsl	linear/hsl	37680c193dfc0d51a5697294b711672cb547c42870ba09e247bc144f347409ad	37680c193dfc0d51a5697294b711672cb547c42870ba09e247bc144f347409ad	Preserved
inverse	S21-radial-oklch	radial/oklch	143f437eaf67cfd64fc66e1c6518cf515a26d15aa1638986ca78468727812ca4	143f437eaf67cfd64fc66e1c6518cf515a26d15aa1638986ca78468727812ca4	Preserved
inverse	S21-linear-oklch	linear/oklch	5532d57a82e707e0118a1ebc32ebe2ac8bf72ee65667f3fdc9dbc3abd5e793aa	5532d57a82e707e0118a1ebc32ebe2ac8bf72ee65667f3fdc9dbc3abd5e793aa	Preserved
inverse	S20-radial-luma	radial/luma	98954e4e094f72dfc2f900ed06c4ff42fb696abac47993b05b19131d5c16c207	98954e4e094f72dfc2f900ed06c4ff42fb696abac47993b05b19131d5c16c207	Preserved
inverse	S20-linear-luma	linear/luma	fc9afb82d4744229b6a2b072c620f012c0dadb46db966f5975f4ae95cc9bee91	fc9afb82d4744229b6a2b072c620f012c0dadb46db966f5975f4ae95cc9bee91	Preserved
inverse	S20-radial-hsv	radial/hsv	2ff9e5ae5799f99aa781336910635fa143c3fedf0020e0d5acb719d4b167a5a6	2ff9e5ae5799f99aa781336910635fa143c3fedf0020e0d5acb719d4b167a5a6	Preserved
