id	contracts	fixture_kind	expected	witness
O01	C01,C02	arbitrary markup body	Preserved	body with two differently colored landmarks survives public construction and identity
O02	C03	Content with intrinsic asymmetric frame	Preserved	size auto resolves to laid-out body extent without invented dimensions
O03	C04	explicit asymmetric size and spacing	Preserved	rendered landmarks repeat at independent x/y pitches
O04	C05	offset 50 percent x and absolute y	Preserved	phase shifts against pitch while cell extent remains fixed
O05	C06,C07	cell pitch (10,8), offset (4,3), clockwise angle 30deg, and nonsymmetric body landmark L=(2,1) in screen coordinates	Preserved	apply Rcw30(x,y)=(cos30*x-sin30*y,sin30*x+cos30*y) after offset: L maps to Rcw30(6,4)=(3.196152423,6.464101615) within 1e-9; reversed order maps to Rcw30(2,1)+(4,3)=(5.232050808,4.866025404) and must fail; measured cell extent remains (10,8)
O06	C08	shape and text using relative auto	Preserved	shape anchors to self and text to nearest parent
O07	C09	two translated siblings self versus parent	Preserved	matched parent coordinates distinguish anchoring bases
O08	C10	instrumented layout count	Preserved	body layout occurs once and exporter receives only resolved normal pipeline output
O09	C11	one SVG shape with materializable Content tiling as fill and a distinct Content tiling as stroke; fill tile has red landmark at (1,1), blue landmark at (4,2), pitch (9,7), while stroke carries exact scoped unsupported disposition	fill=Preserved; stroke=Unknown	parsed SVG graph resolves fill to repeated tile morphology with the two ordered landmarks at offsets (1+9k,1+7m) and (4+9k,2+7m) for witnessed cells (k,m)=(0,0),(1,0),(0,1); stroke result is exactly Unknown(scope=SVG,role=stroke,reason=unsupported-content-tiling) with explicit stroke fallback annotation and no claim of repeated-stroke equivalence; fill success must not promote stroke and stroke Unknown must not demote the independently witnessed fill
O10	C11	fill tiling plus stroke control	Preserved	fill references repeated morphology while stroke remains control
O11	C12	the same finite fill-tiling fixture is evaluated as an ordered target matrix with expected rows SVG=Preserved, PDF=Unknown(scope=PDF,role=fill,reason=unsupported-content-tiling), HTML=Unknown(scope=HTML,role=fill,reason=unsupported-content-tiling)	exact target vector [SVG:Preserved,PDF:Unknown,HTML:Unknown]	executable harness emits one tuple (target,classification,scope,role,reason,closed_repetition_graph) per target; SVG must have a closed repetition graph and classification Preserved, PDF and HTML must have no preservation claim and must equal their exact scoped Unknown tuples; sort by target and compare to the fixed three-row vector, rejecting missing/duplicate rows or any cross-target promotion
O12	C13	unsupported target fallback	Unknown	fallback marker remains Unknown even if representative color matches
O13	C05,C06	nonfinite and font-relative arguments	Rejected	constructor reports the corresponding invalid-value class
O14	C14	fixed corpus A=O05 transform-order Preserved, B=O09 fill Preserved plus stroke Unknown, C=O12 fallback Unknown; execute orders [A,B,C] and [C,B,A], each twice	Preserved	each run emits canonical tuples keyed by fixture and subrole: (A,placement=(3.196152423,6.464101615),Preserved), (B-fill,repetition_graph_digest,Preserved), (B-stroke,SVG,stroke,unsupported-content-tiling,Unknown), (C,target,role,fallback_reason,Unknown); after sorting by key, all four tuple vectors and semantic graph digests are identical, contain exactly four rows, and equal the declared classifications; output order and raw IDs are excluded
O15	C15	ownership preflight	Preserved	V15/V26 zero before hash reseal
