fixture_id	pair	fallback_markers	variant_nodes	productive_promotion	status
S01-linear-oklab	linear/oklab	0	1	true	Preserved
S01-radial-oklab	radial/oklab	0	1	true	Preserved
S01-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S01-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S02-linear-oklab	linear/oklab	0	1	true	Preserved
S02-radial-oklab	radial/oklab	0	1	true	Preserved
S02-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S02-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S03-linear-oklab	linear/oklab	0	1	true	Preserved
S03-radial-oklab	radial/oklab	0	1	true	Preserved
S03-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S03-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S04-linear-oklab	linear/oklab	0	1	true	Preserved
S04-radial-oklab	radial/oklab	0	1	true	Preserved
S04-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S05-linear-oklab	linear/oklab	0	1	true	Preserved
S05-radial-oklab	radial/oklab	0	1	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S06-linear-oklab	linear/oklab	0	1	true	Preserved
S06-radial-oklab	radial/oklab	0	1	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S07-linear-oklab	linear/oklab	0	1	true	Preserved
S07-radial-oklab	radial/oklab	0	1	true	Preserved
S07-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S07-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S08-linear-oklab	linear/oklab	0	1	true	Preserved
S08-radial-oklab	radial/oklab	0	1	true	Preserved
S08-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S08-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S09-linear-oklab	linear/oklab	0	1	true	Preserved
S09-radial-oklab	radial/oklab	0	1	true	Preserved
S09-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S09-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
