gate	verdict	evidence
manifest-complete	Unknown-not-persisted	identidades e hashes declarados, mas lista histórica da árvore suja e contrato original não foram persistidos
determinism	Preserved	duas execuções integrais; cada uma com duas ordens diretas e duas inversas; três raws repetidos byte a byte
P1231-reproduction	Preserved	numeric e raster idênticos ao FINAL-v2; 124 linhas R01 de grafo idênticas
fixture-universe	Preserved	30 fixtures R01; 14 numeric fail; 19 raster fail
P1229-join	FIXTURE-EXPANSION	zero fixtures normalizadas comuns entre três casos reduzidos P1229 e seis morfologias P1231 por combinação
direct-sample	Violated	68/123150 diferenças codificadas; cinco coincident t=0 com máximo 209 u8; 63 diferenças de um u8
local-classification	Preserved-with-limits	5 direct out-of-budget;21 direct within-budget;4 direct exact; causas SVG/raster exclusivas não demonstradas
production-write	Preserved	nenhuma alteração L0 ou L1-L4 por P1232
tekt-chain	Unknown-not-persisted	sem contrato persistido,recibos,ataques,selo,mutation score ou backlinks ao hash do manifesto
final	ACCEPTED_WITH_EVIDENCE_GAPS	FIXTURE-EXPANSION reproduzida e P1229_REOPENED; causalidade exclusiva e fecho probatório não autorizados
isolation	EXECUTADO SEM ATESTAÇÃO DE ISOLAMENTO	filesystem compartilhado; capacidades e allowlists registradas, sem barreira imposta pelo SO
