contract_id	observable	population	preserved	violated	unknown
G01-POPULATION	fixture identity and pair membership	24 frozen valid seeds x 4 pairs	96 unique frozen valid fixtures;24 per pair	missing;duplicate;candidate-guided fixture	ambiguous identity blocks affected pair
G02-DOMAIN	public constructor and transform acceptance	valid S01-S24 plus invalid I01-I08	all valid accepted;all applicable invalid rejected	valid rejected or invalid accepted	parser unavailable or diagnostic identity ambiguous
G03-GRAPH	variant;resolved URL;raster absence;role;geometry;transform	96 valid fixtures	24/24 per pair;transform applied once	unresolved URL;wrong variant/role;positive-area fallback/raster	unparseable SVG or ambiguous node ownership
G04A-DECLARED-STOPS	language-resolved offsets of original stops;order;coincidence;right-continuity;color;alpha	96 valid fixtures	all original stops preserve those language observables without sorting,deduplication or collapse	any original stop changes offset/order/coincidence/side of discontinuity/color/alpha	original stop identity or language-resolved offset unavailable
G04B-ADAPTIVE-ENVELOPE	adaptive order;source-interval membership;curve support;chromatic and alpha envelope	all positive-length original intervals in 96 valid fixtures	adaptive samples are monotone inside their source interval and the reconstructed curve satisfies frozen G05 budgets	adaptive sample crosses an original boundary,reorders support,changes a discontinuity or causes an envelope breach	adaptive origin/support or required envelope cannot be established
G05-CURVE	premultiplied encoded-sRGB color_max;color_p95;alpha_max;alpha_p95	8192 points per positive-domain fixture	all four metrics <= frozen per-fixture V_* limits	any one metric over limit	oracle/budget unavailable or mesh budget exhausted
G06-RASTER	local masked RGBA morphology wherever the paint has positive support	all fixtures with positive painted support,including S20 stroke	frozen vanilla-derived raster envelope and support preserved	mask-adjusted candidate error/support outside envelope	unsupported renderer or painted-support derivation ambiguous
G07A-DEGENERATE-STROKE	effectively painted support;stroke role;closed graph;geometry	S20 x 4 pairs	positive support and morphology match sealed vanilla stroke witness;graph closed	stroke erased,filled instead,detached,misplaced or outside envelope	stroke width/support or node ownership cannot be established
G07B-ZERO-AREA-FILL	paint support;fill role;closed graph;geometry	S21 x 4 pairs	zero positive-area paint;graph closed and geometry correct	positive-area paint,dangling graph or wrong geometry	cannot establish that fill geometry has zero area
G08-ANTIALIAS	constructor true;sharp false;repeat preserves input	S13-S18;S21;S24 x 4 pairs	boundary morphology and public state match vanilla	state lost;double-applied;repeat resets state	anti_alias carrier unavailable
G09-GEOMETRY	linear angle;radial center/radius/focal;box transform	96 valid fixtures	language-equivalent geometry under frozen landmarks	angle/focal/radius/transform divergence	landmark or local coordinate base ambiguous
G10-INTERVAL-COST	per-original-interval depth;segments;introduced stops;midpoint decisions;aggregate bound	all adjacent original-stop intervals in 96 valid fixtures	zero-length interval adds 0;increasing interval depth<=6,segments<=64,introduced<=63,decisions<=127;for n originals and p increasing intervals emitted<=n+63p	any bound exceeded;interval cost unreported;unbounded expansion or nontermination	instrumentation cannot attribute cost to an original interval
G11-CONTROLS	sRGB;P1234;P1236;P1264	frozen control corpora	zero regression in every predecessor gate	any reopened control	changed protected input invalidates the seal
G12-PAIR-GATE-V2	conjunction G01-G11 with G04A/G04B,G07A/G07B,G10 and applicable attacks	four independent pairs	24/24 graph+morphology+numeric+cost;zero necessary Unknown;score=1.0	any failed applicable gate or surviving mutant	Unknown-generalization for affected pair only
G13-DETERMINISM	direct;inverse;repeat semantic outputs	complete corpus and attack suite	canonical semantic equality	any order-dependent result	non-reproducible environment invalidates run
G14-PROMOTION-BOUNDARY	classification versus product default	four pair verdicts	at most Generalization-Preserved after P1268 seal and later execution;fallback unchanged	productive promotion or general equivalence claim	no productive decision inside P1267/P1268
