phase	fixture_id	pair	direct_digest	observed_digest	status
inverse	S24-radial-linear-rgb	radial/linear-rgb	21c1ff432ba9146deb7d17d03da4000055e02ed06d48ee09629f9925eff8a1f1	21c1ff432ba9146deb7d17d03da4000055e02ed06d48ee09629f9925eff8a1f1	Preserved
inverse	S24-linear-linear-rgb	linear/linear-rgb	edef2d8fc4a0ce3149926c0319ce57a203b8c8182cfb778ccbaf6a231532a69c	edef2d8fc4a0ce3149926c0319ce57a203b8c8182cfb778ccbaf6a231532a69c	Preserved
inverse	S24-radial-oklab	radial/oklab	3edc8d0dc97ddc72881820a6a7be0c776b60797ad662137d5d0c438e9e57f4ca	3edc8d0dc97ddc72881820a6a7be0c776b60797ad662137d5d0c438e9e57f4ca	Preserved
inverse	S24-linear-oklab	linear/oklab	ff9a63c7f96e65ca909fcc1cd5ac1439d593ccf3e84884bd65cb4215b2d5829d	ff9a63c7f96e65ca909fcc1cd5ac1439d593ccf3e84884bd65cb4215b2d5829d	Preserved
inverse	S23-radial-linear-rgb	radial/linear-rgb	5c38ed0e5aece110aefb473f712e5b9acbbc4cfe7f6b86d3ddd0989beadd33cc	5c38ed0e5aece110aefb473f712e5b9acbbc4cfe7f6b86d3ddd0989beadd33cc	Preserved
inverse	S23-linear-linear-rgb	linear/linear-rgb	08c474dbfb5b809f3d0118a5f936b16dc578a37bb9e3cea16d7a84c4c1fd8b05	08c474dbfb5b809f3d0118a5f936b16dc578a37bb9e3cea16d7a84c4c1fd8b05	Preserved
inverse	S23-radial-oklab	radial/oklab	a8906fa55d6bcc9b5bd4d8ee7ea61766917ece0c6787b071f209150cb8189373	a8906fa55d6bcc9b5bd4d8ee7ea61766917ece0c6787b071f209150cb8189373	Preserved
inverse	S23-linear-oklab	linear/oklab	f906a2903e672d43f91425a7a16051564f2586442e61514a3960039668d45c15	f906a2903e672d43f91425a7a16051564f2586442e61514a3960039668d45c15	Preserved
inverse	S22-radial-linear-rgb	radial/linear-rgb	a0704267759fd4eba5e9858918ff71a1a5b0088194bde1080f545d3ad225caa8	a0704267759fd4eba5e9858918ff71a1a5b0088194bde1080f545d3ad225caa8	Preserved
inverse	S22-linear-linear-rgb	linear/linear-rgb	5a668b19d0a7cddfecef4b5aeb428796ae88cb231b2d12439dd409e0133e05b7	5a668b19d0a7cddfecef4b5aeb428796ae88cb231b2d12439dd409e0133e05b7	Preserved
inverse	S22-radial-oklab	radial/oklab	e8f8e1c14073a9f2ad13cb00bcf07fe164b216589eba4a75af2ec8b62bffb085	e8f8e1c14073a9f2ad13cb00bcf07fe164b216589eba4a75af2ec8b62bffb085	Preserved
inverse	S22-linear-oklab	linear/oklab	571fbba141aa4e2f9c331240fb8ee5ecc7950509797d33e1bbe90c3dcfab2e58	571fbba141aa4e2f9c331240fb8ee5ecc7950509797d33e1bbe90c3dcfab2e58	Preserved
inverse	S21-radial-linear-rgb	radial/linear-rgb	0c24bee967bb99a9ab1aba388361d8ee6ab425992436afd37a8858a4ee956df2	0c24bee967bb99a9ab1aba388361d8ee6ab425992436afd37a8858a4ee956df2	Preserved
inverse	S21-linear-linear-rgb	linear/linear-rgb	c364e37c86d70e2c562284b97f6dceaf858425095c66db172daea955e8812617	c364e37c86d70e2c562284b97f6dceaf858425095c66db172daea955e8812617	Preserved
inverse	S21-radial-oklab	radial/oklab	6b073737c6481230b44dab3e626faae31caebebd58413a2cd524cbce8f038ab4	6b073737c6481230b44dab3e626faae31caebebd58413a2cd524cbce8f038ab4	Preserved
