universe	case	level_or_axis	feature	status	class	executable	harness_failure	source
crystalline-declared	parse-corpus	P1	syntax	MATCH		yes	no	lab/parity/tests/parse_parity.rs (50/50 tests)
crystalline-declared	P1137-S-001	P1/diagnostic	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-E-001	P2/eval	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-B-001	P2/eval	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-I-001	P2/introspection	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-L-001	P3/layout	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-X-001	P4/export	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-X-002	P4/export	manifest case	ABSENT	PUBLIC_FORMAT	yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-X-003	P4/export	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-C-001	P4/CLI	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1137-C-002	P4/CLI	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-S-001	P1/diagnostic	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-S-002	P1/diagnostic	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-S-003	P1/diagnostic	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-B-001	P2/eval	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-X-001	P4/export	manifest case	DIFF	LANGUAGE_MORPHOLOGY	yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-L-001	P3/layout	manifest case	MATCH		yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-X-002	P4/export	manifest case	DIFF	PUBLIC_FORMAT	yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-X-003	P4/export	manifest case	DIFF	PUBLIC_FORMAT	yes	no	lab/parity/matrix/manifest.yaml
crystalline-declared	P1138-X-004	P4/export	manifest case	ERROR	LANGUAGE_MORPHOLOGY	yes	yes	lab/parity/matrix/manifest.yaml
vanilla-wide	official-suite	P1-P4	broad ratified suite	HARNESS-GAP	HARNESS-GAP	no	yes	lab/typst-original/tests: no deterministic sampler/adapter in current harness
